feature_1,feature_2,feature_3,feature_4,example_id,part,all
3.640555556,6.661388889,7.037,52,11157,1,1
0.792222222,6.455277778,5.315,40,14442,1,1
0.948055556,7.966944444,8.578,36,12412,1,1
0.251111111,9.112777778,2.643,38,13497,1,1
9.201111111,4.334722222,14.898,39,15276,1,1
1.008055556,8.572222222,0.889,34,12274,1,1
10.68333333,1.8325,3.738,39,12309,1,1
2.408611111,6.985833333,7.882,46,14545,1,1
2.469722222,7.431388889,2.105,33,14939,1,1
4.930555556,3.203055556,17.899,34,11378,1,1
9.779166667,1.837777778,3.702,36,10440,1,1
23.98444444,9.784166667,16.371,34,14798,1,1
3.927222222,5.466666667,1.548,24,12141,0,0
0.753611111,2.266944444,6.514,39,10253,1,1
4.439444444,5.533333333,1.005,48,10840,1,1
0.262222222,8.520277778,9.894,44,12939,1,1
2.305555556,0.338888889,0.606,33,12971,1,1
2.361111111,8.202222222,0.96,38,11923,1,1
0.02,6.647777778,6.677,26,11889,0,0
1.109166667,10.00166667,1.532,40,14746,1,1
21.58416667,5.375833333,18.354,42,14148,1,1
1.145555556,5.685555556,11.029,39,14048,1,1
0.781111111,7.356111111,3.992,36,13599,1,1
0.929722222,8.86,21.207,39,13274,1,1
0.1875,10.01833333,3.92,38,11605,1,1
2.839444444,6.835,13.31967083,37,12797,1,1
4.368611111,5.041944444,1.692,35,11353,1,1
2.701666667,0.611944444,2.102,34,10999,1,1
0.319444444,8.424444444,1.742,40,14413,1,1
5.046111111,3.269444444,7.544,41,15163,1,1
11.10277778,2.037222222,0.893,39,11900,1,1
2.135555556,11.39527778,11.32,34,13140,1,1
9.595555556,0.686388889,2.194,33,15197,1,1
4.912777778,8.680555556,2.103,42,14345,1,1
13.89305556,2.078611111,1.016,44,11444,1,1
9.507777778,3.791944444,13.371,46,10919,1,1
21.61416667,15.55805556,16.451,38,11101,1,1
1.871944444,7.053055556,11.245,30,12224,1,1
23.04277778,5.057222222,8.487,37,11563,1,1
10.99861111,2.581388889,10.755,34,12165,1,1
11.34583333,1.529166667,9.514,37,11394,1,1
0.895,7.808055556,2.963,35,11452,1,1
21.55694444,8.286388889,17.834,30,13315,1,1
1.985833333,1.303888889,8.872,36,11213,1,1
23.16,8.526111111,38.03,38,14490,1,1
2.738055556,1.305,1.106503883,41,14243,1,1
2.255277778,1.333333333,4.344,40,10680,1,1
9.851388889,3.811666667,13.484,34,13639,1,1
1.442222222,9.231388889,13.609,48,10439,1,1
6.839722222,1.396944444,3.817,41,11533,1,1
9.234444444,11.87916667,3.748,36,11447,1,1
23.65027778,1.254444444,2.24,40,11001,1,1
4.212222222,5.4275,0.893,36,13792,1,1
2.648055556,7.209444444,0.899,33,11779,1,1
0.506666667,6.440833333,3.834,37,10866,1,1
0.566111111,6.943333333,13.385,37,12946,1,1
23.40388889,2.902777778,1.001,32,13050,1,1
0.269444444,9.384444444,1.718,36,14772,1,1
0.828333333,5.135,0.858,35,10849,1,1
2.288611111,5.430555556,5.961,30,14761,1,1
3.816944444,7.130555556,24.643,40,10962,1,1
0.511111111,9.182777778,10.122,35,12879,1,1
4.150833333,0.609444444,0.873,44,15204,1,1
7.930833333,1.319166667,1.935,52,13977,1,1
3.265555556,0.670833333,1.255,36,15074,1,1
12.24638889,10.89027778,14.898,36,14625,1,1
4.997222222,3.8825,25.232,38,13700,1,1
10.8625,1.870833333,12.523,39,13962,1,1
2.652222222,6.379722222,4.62,37,10025,1,1
1.698333333,8.272222222,0.812,36,13854,1,1
1.196388889,7.930277778,11.905,38,11671,1,1
0.627777778,8.677222222,2.583,37,13411,1,1
0.528611111,7.416944444,19.061,34,12867,1,1
0.403333333,7.956666667,12.088,37,11019,1,1
2.388055556,3.003888889,17.883,40,15068,1,1
0.009722222,7.116111111,5.876,30,14583,1,1
8.697777778,0.622777778,2.101,25,12779,0,0
4.285833333,4.898333333,11.521,34,13340,1,1
11.55111111,0.483888889,2.844,37,14293,1,1
0.576388889,10.06638889,13.521,36,10275,1,1
23.29666667,3.009166667,6.758,41,12370,1,1
23.85611111,6.216388889,1.008,34,12112,1,1
21.11027778,1.240277778,4.066,35,14052,1,1
6.514166667,2.874166667,0.877,40,12545,1,1
4.614444444,0.466388889,0.722,37,13122,1,1
5.808333333,1.193055556,3.666,32,14070,1,1
0.366111111,1.485277778,0.945,36,13477,1,1
7.475833333,1.994166667,2.26,36,14316,1,1
23.63861111,8.6825,25.784,30,13496,1,1
10.11194444,0.830833333,0.841,38,14697,1,1
3.487222222,4.405277778,5.586,36,12101,1,1
1.0625,6.030833333,6.183,42,11579,1,1
21.78916667,11.57583333,23.575,36,15213,1,1
23.76944444,4.097222222,4.13,36,10801,1,1
21.07583333,1.238055556,3.868,43,13424,1,1
3.119444444,5.633055556,27.873,37,11422,1,1
7.803888889,1.512777778,3.694,34,13740,1,1
0.508888889,1.144444444,0.901,32,12011,1,1
3.515277778,5.531388889,1.291,38,14460,1,1
1.423333333,2.8275,17.989,36,10332,1,1
23.68277778,8.329166667,0.943,36,12823,1,1
11.03638889,1.528055556,5.282,23,10552,0,0
1.181666667,7.956666667,0.828,33,13150,1,1
0.730833333,7.528055556,4.946,40,13812,1,1
1.104444444,7.763055556,14.83,37,11376,1,1
4.777777778,3.377222222,13.223,40,10763,1,1
4.357777778,4.741666667,6.638,37,13911,1,1
7.848055556,2.671666667,1.774,37,10716,1,1
23.965,7.46,13.415,39,15259,1,1
23.63,9.303333333,4.557,39,11306,1,1
1.795,1.395555556,0.951,30,14911,1,1
4.699166667,5.24,0.924,33,12388,1,1
3.810833333,3.036388889,6.636,34,12835,1,1
1.174444444,10.18111111,3.891,48,10697,1,1
3.625,5.136111111,7.174,40,10196,1,1
0.381388889,7.850555556,5.799,26,13582,0,0
2.273333333,5.200555556,11.883,35,11777,1,1
1.453888889,6.476944444,8.39,36,11695,1,1
0.220833333,6.7025,8.242,33,11052,1,1
6.576111111,0.567222222,0.825,37,11802,1,1
1.663055556,7.568333333,0.859,40,11205,1,1
23.94611111,9.888888889,33.765,37,10128,1,1
21.73972222,9.140555556,17.745,26,14439,0,0
6.775555556,1.685555556,4.199,27,10409,0,0
21.55583333,5.226944444,18.795,35,13645,1,1
0.191944444,7.53,3.786,43,10073,1,1
0.703055556,1.956111111,10.386,42,11685,1,1
2.266666667,8.525,16.199,37,12263,1,1
4.000833333,1.871111111,10.536,38,14153,1,1
21.57277778,1.3125,3.467,37,10144,1,1
2.8825,4.763888889,6.33,44,11738,1,1
7.449166667,1.722777778,0.903,41,12610,1,1
0.712222222,7.021111111,4.01,46,14397,1,1
12.31,1.034444444,3.424,37,14794,1,1
23.98361111,10.52777778,0.885,36,12248,1,1
0.966111111,8.419722222,12.944,31,11590,1,1
9.470277778,2.063333333,8.066,38,14542,1,1
4.816388889,4.1175,14.312,34,12330,1,1
3.940555556,4.255555556,6.208,34,14764,1,1
1.262777778,5.389166667,9.033,46,14738,1,1
1.226111111,7.834444444,9.618,40,10989,1,1
23.67361111,6.831666667,1.321,33,11411,1,1
0.788611111,9.334166667,2.313,37,14071,1,1
2.9975,5.081111111,11.202,32,10103,1,1
0.605833333,7.912222222,2.731,37,13656,1,1
0.810833333,4.469444444,10.08,40,13066,1,1
5.785833333,0.628333333,1.024,32,13159,1,1
7.503055556,0.6875,4.508,38,12699,1,1
0.398055556,6.654444444,9.668,39,13944,1,1
11.3575,2.199166667,12.989,37,10814,1,1
4.054722222,5.518055556,7.091,31,12965,1,1
23.59972222,8.995555556,18.906,34,13768,1,1
23.64638889,1.758333333,11.716,35,11202,1,1
8.134722222,1.693333333,0.877,37,12535,1,1
3.113888889,3.334166667,0.772,38,12803,1,1
2.338888889,5.748055556,4.169,33,11934,1,1
3.574722222,5.036388889,1.432,36,13781,1,1
0.895,0.691666667,0.908,37,12347,1,1
5.956388889,0.166388889,0.531,8,14160,0,0
0.116666667,7.151388889,13.87,37,15091,1,1
2.095833333,6.918333333,2.335,37,10083,1,1
5.998611111,5.376111111,30.95,49,13432,1,1
1.256111111,1.899166667,0.853,45,13069,1,1
23.60361111,8.319166667,5.76,34,11525,1,1
0.136388889,7.336388889,0.883,30,12552,1,1
9.306388889,1.356388889,1.476,39,10888,1,1
0.346111111,3.147222222,2.132,30,10677,1,1
0.756111111,8.745,16.15,39,13352,1,1
10.37305556,0.935833333,3.152,25,13298,0,0
0.711666667,3.321944444,10.552,41,11303,1,1
2.879444444,6.488888889,1.934,35,11912,1,1
23.75194444,9.586944444,15.882,43,11137,1,1
0.772222222,8.298888889,9.592,25,14100,0,0
6.566388889,2.651944444,12.093,37,12755,1,1
5.506388889,4.520555556,29.358,42,11753,1,1
1.2025,7.315555556,32.588,38,13408,1,1
