"Indexcd","Idxinfo01","Idxinfo06","Idxinfo09","Idxinfo11"
"000001","上证综合指数","1","1","1991-07-15"
"000001CNY01","上证综合全收益指数","1","1","2020-10-09"
"000002","上证A股指数","1","1","1992-02-21"
"000003","上证B股指数","1","1","1992-02-21"
"000004","上证工业类指数","1","1","1993-05-03"
"000005","上证商业类指数","1","1","1993-05-03"
"000006","上证地产业类指数","1","1","1993-05-03"
"000007","上证公用事业类指数","1","1","1993-05-03"
"000008","上证综合业类指数","1","1","1993-05-03"
"000009","上证380指数","1","1","2010-11-29"
"000010","上证180指数","1","1","2002-07-01"
"000011","上证基金指数","1","1","2000-06-09"
"000012","上证国债指数(全价)","1","1","2003-01-02"
"000013","上证企业债指数(全价)","1","3","2003-06-09"
"000015","上证红利指数","1","1","2005-01-04"
"000016","上证50指数","1","1","2004-01-02"
"000017","新上证综指","1","1","2006-01-04"
"000018","上证180金融股指数","1","1","2007-12-10"
"000019","上证公司治理指数","1","1","2008-01-02"
"000020","上证中型企业综合指数","1","1","2008-05-12"
"000021","上证180公司治理指数","1","1","2008-09-10"
"000022","上证公司债指数(全价)","1","1","2008-11-19"
"000023","上证分离债指数","1","1","2008-11-19"
"000025","上证180基建指数","1","1","2008-12-15"
"000026","上证180资源指数","1","1","2008-12-15"
"000027","上证180交通运输指数","1","1","2008-12-15"
"000028","上证180成长指数","1","1","2009-01-09"
"000029","上证180价值指数","1","1","2009-01-09"
"000030","上证180相对成长指数","1","1","2009-01-09"
"000031","上证180相对价值指数","1","1","2009-01-09"
"000032","上证能源行业指数","1","1","2009-01-09"
"000033","上证原材料行业指数","1","1","2009-01-09"
"000034","上证工业行业指数","1","1","2009-01-09"
"000035","上证可选消费行业指数","1","1","2009-01-09"
"000036","上证主要消费行业指数","1","1","2009-01-09"
"000037","上证医药卫生行业指数","1","1","2009-01-09"
"000038","上证金融地产行业指数","1","1","2009-01-09"
"000039","上证信息技术行业指数","1","1","2009-01-09"
"000040","上证电信业务行业指数","1","1","2009-01-09"
"000041","上证公用事业行业指数","1","1","2009-01-09"
"000042","上证中央企业50指数","1","1","2009-03-30"
"000043","上证超级大盘指数","1","1","2009-04-23"
"000044","上证中盘指数","1","1","2009-07-03"
"000045","上证小盘指数","1","1","2009-07-03"
"000046","上证中小盘指数","1","1","2009-07-03"
"000047","上证全指","1","1","2009-07-03"
"000048","上证社会责任指数","1","1","2009-08-05"
"000049","上证民营企业50指数","1","1","2009-08-25"
"000050","上证50等权重指数","1","1","2011-01-04"
"000051","上证180等权重指数","1","1","2011-05-24"
"000052","上证50基本面加权指数","1","1","2012-01-09"
"000053","上证180基本面加权指数","1","1","2012-01-09"
"000054","上证海外上市A股指数","1","1","2010-01-04"
"000055","上证地方国有企业50指数","1","1","2010-01-04"
"000056","上证国有企业100指数","1","1","2010-01-04"
"000057","上证全指成长指数","1","1","2010-01-04"
"000058","上证全指价值指数","1","1","2010-01-04"
"000059","上证全指相对成长指数","1","1","2010-01-04"
"000060","上证全指相对价值指数","1","1","2010-01-04"
"000061","上证企债30指数(全价)","1","1","2010-01-04"
"000062","上证沪企指数","1","1","2010-01-04"
"000063","上证周期行业50指数","1","1","2010-02-03"
"000064","上证非周期行业100指数","1","1","2010-02-03"
"000065","上证龙头企业指数","1","1","2010-02-09"
"000066","上证大宗商品股票指数","1","1","2010-04-30"
"000067","上证新兴产业指数","1","1","2010-04-30"
"000068","上证自然资源指数","1","1","2010-05-28"
"000069","上证消费80指数","1","1","2010-05-28"
"000070","上证能源行业分层等权重指数","1","1","2010-08-18"
"000071","上证原材料行业分层等权重指数","1","1","2010-08-18"
"000072","上证工业行业分层等权重指数","1","1","2010-08-18"
"000073","上证可选消费行业分层等权重指数","1","1","2010-08-18"
"000074","上证主要消费行业分层等权重指数","1","1","2010-08-18"
"000075","上证医药卫生行业分层等权重指数","1","1","2010-08-18"
"000076","上证金融地产行业分层等权重指数","1","1","2010-08-18"
"000077","上证信息技术行业分层等权重指数","1","1","2010-08-18"
"000078","上证电信业务行业分层等权重指数","1","1","2010-08-18"
"000079","上证公用事业行业分层等权重指数","1","1","2010-08-18"
"000090","上证流通指数","1","1","2010-12-02"
"000091","上证财富中小盘指数","1","1","2011-04-06"
"000092","上证资源50指数","1","1","2011-05-10"
"000093","上证180行业分层等权重指数","1","1","2011-05-24"
"000094","上证上游产业指数","1","1","2011-05-10"
"000095","上证中游产业指数","1","1","2011-05-10"
"000096","上证下游产业指数","1","1","2011-05-10"
"000097","上证高端装备制造60指数","1","1","2011-05-24"
"000098","上证基本面200指数","1","1","2011-07-01"
"000099","上证基本面300指数","1","1","2011-07-01"
"000100","上证基本面500指数","1","1","2011-07-01"
"000101","上证5年期信用债指数(全价)","1","1","2013-04-01"
"000102","上证投资品指数","1","1","2011-06-13"
"000103","上证消费品指数","1","1","2011-06-13"
"000104","上证380能源指数","1","1","2011-06-13"
