"Stkcd","Trdmnt","Mretwd"
"000001","2019-07","0.025399"
"000001","2019-08","0.002123"
"000001","2019-09","0.100989"
"000001","2019-10","0.042976"
"000001","2019-11","-0.059656"
"000001","2019-12","0.075867"
"000001","2020-01","-0.055319"
"000001","2020-02","-0.066924"
"000001","2020-03","-0.117241"
"000001","2020-04","0.088281"
"000001","2020-05","-0.051197"
"000001","2020-06","-0.015385"
"000001","2020-07","0.042188"
"000001","2020-08","0.130435"
"000001","2020-09","0.005968"
"000001","2020-10","0.170073"
"000001","2020-11","0.112113"
"000001","2020-12","-0.020263"
"000001","2021-01","0.193899"
"000001","2021-02","-0.074058"
"000001","2021-03","0.029467"
"000001","2021-04","0.058155"
"000001","2021-05","0.047092"
"000001","2021-06","-0.065289"
"000002","2019-07","0.034160"
"000002","2019-08","-0.067328"
"000002","2019-09","0.003876"
"000002","2019-10","0.024324"
"000002","2019-11","0.044101"
"000002","2019-12","0.161733"
"000002","2020-01","-0.099441"
"000002","2020-02","0.021049"
"000002","2020-03","-0.133153"
"000002","2020-04","0.044834"
"000002","2020-05","-0.041045"
"000002","2020-06","0.017121"
"000002","2020-07","0.026779"
"000002","2020-08","0.053335"
"000002","2020-09","0.027503"
"000002","2020-10","-0.016774"
"000002","2020-11","0.114338"
"000002","2020-12","-0.065147"
"000002","2021-01","-0.031707"
"000002","2021-02","0.191076"
"000002","2021-03","-0.093656"
"000002","2021-04","-0.061000"
"000002","2021-05","-0.052183"
"000002","2021-06","-0.108240"
"000004","2019-07","-0.128181"
"000004","2019-08","0.072432"
"000004","2019-09","-0.052419"
"000004","2019-10","-0.032447"
"000004","2019-11","0.094557"
"000004","2019-12","0.134606"
"000004","2020-01","0.010182"
"000004","2020-02","0.783523"
"000004","2020-03","-0.250369"
"000004","2020-04","-0.092756"
"000004","2020-05","0.043353"
"000004","2020-06","0.033241"
"000004","2020-07","-0.038874"
"000004","2020-08","-0.108089"
"000004","2020-09","-0.097342"
"000004","2020-10","0.152014"
"000004","2020-11","0.038346"
"000004","2020-12","-0.250543"
"000004","2021-01","-0.021256"
"000004","2021-02","-0.069595"
"000004","2021-03","-0.093369"
"000004","2021-04","-0.067876"
"000004","2021-05","0.006905"
"000004","2021-06","0.157107"
"000005","2019-07","-0.039474"
"000005","2019-08","0.061644"
"000005","2019-09","0.025806"
"000005","2019-10","-0.050314"
"000005","2019-11","-0.029801"
"000005","2019-12","0.054608"
"000005","2020-01","-0.038835"
"000005","2020-02","-0.060606"
"000005","2020-03","-0.017921"
"000005","2020-04","-0.021898"
"000005","2020-05","-0.041045"
"000005","2020-06","0.023346"
"000005","2020-07","0.110266"
"000005","2020-08","0.006849"
"000005","2020-09","-0.122449"
"000005","2020-10","-0.019380"
"000005","2020-11","0.019763"
"000005","2020-12","-0.019380"
"000005","2021-01","-0.154150"
"000005","2021-02","0.000000"
"000005","2021-03","0.130841"
"000005","2021-04","-0.082645"
"000005","2021-05","-0.211712"
"000005","2021-06","0.074286"
"000006","2019-07","-0.029358"
"000006","2019-08","0.001890"
"000006","2019-09","-0.050943"
"000006","2019-10","0.039761"
"000006","2019-11","-0.021033"
"000006","2019-12","0.046875"
"000006","2020-01","-0.052239"
"000006","2020-02","-0.088583"
"000006","2020-03","-0.032397"
"000006","2020-04","0.113839"
"000006","2020-05","-0.036072"
"000006","2020-06","0.457620"
"000006","2020-07","0.215859"
"000006","2020-08","-0.228261"
"000006","2020-09","0.006260"
"000006","2020-10","-0.110420"
"000006","2020-11","0.001748"
"000006","2020-12","-0.020942"
"000006","2021-01","-0.133690"
"000006","2021-02","0.061728"
"000006","2021-03","0.042636"
"000006","2021-04","0.001859"
"000006","2021-05","-0.024119"
"000006","2021-06","-0.011056"
"000007","2019-07","-0.030747"
"000007","2019-08","0.208459"
"000007","2019-09","0.047500"
"000007","2019-10","0.068019"
"000007","2019-11","0.118436"
"000007","2019-12","-0.050949"
"000007","2020-01","-0.041053"
"000007","2020-02","-0.052689"
"000007","2020-03","-0.062572"
"000007","2020-04","-0.016069"
"000007","2020-05","0.028894"
"000007","2020-06","0.065934"
"000007","2020-07","-0.014891"
"000007","2020-08","0.055814"
"000007","2020-09","0.035242"
"000007","2020-10","-0.057447"
"000007","2020-11","0.071106"
"000007","2020-12","-0.265543"
"000007","2021-01","-0.621234"
"000007","2021-02","0.537879"
"000007","2021-03","-0.046798"
"000007","2021-04","-0.033592"
"000007","2021-05","-0.010695"
"000007","2021-06","0.110811"
"000008","2019-07","-0.042440"
"000008","2019-08","-0.041551"
"000008","2019-09","-0.008670"
"000008","2019-10","0.000000"
"000008","2019-11","0.023324"
"000008","2019-12","0.034188"
"000008","2020-01","-0.057851"
"000008","2020-02","-0.087719"
"000008","2020-03","0.006410"
"000008","2020-04","0.012739"
"000008","2020-05","-0.056604"
"000008","2020-06","-0.016722"
"000008","2020-07","0.034014"
"000008","2020-08","0.003289"
"000008","2020-09","-0.055738"
"000008","2020-10","-0.065972"
"000008","2020-11","0.011152"
"000008","2020-12","-0.066176"
"000008","2021-01","-0.023622"
"000008","2021-02","-0.052419"
"000008","2021-03","-0.025532"
"000008","2021-04","-0.021834"
"000008","2021-05","0.008929"
"000008","2021-06","-0.017699"
"000009","2019-07","-0.012820"
"000009","2019-08","-0.017094"
"000009","2019-09","-0.041304"
"000009","2019-10","0.034014"
"000009","2019-11","-0.019737"
"000009","2019-12","0.384787"
"000009","2020-01","0.046850"
"000009","2020-02","0.143519"
"000009","2020-03","-0.206478"
"000009","2020-04","0.115646"
"000009","2020-05","0.051829"
"000009","2020-06","0.233333"
"000009","2020-07","-0.016451"
"000009","2020-08","-0.083734"
"000009","2020-09","-0.084967"
"000009","2020-10","0.080000"
"000009","2020-11","-0.015873"
"000009","2020-12","0.012097"
"000009","2021-01","-0.086321"
"000009","2021-02","0.406977"
"000009","2021-03","-0.103306"
"000009","2021-04","0.211982"
"000009","2021-05","-0.027567"
"000009","2021-06","0.785924"
"000010","2019-07","0.102719"
"000010","2019-08","-0.076712"
"000010","2019-09","-0.002967"
"000010","2019-10","0.053571"
"000010","2019-11","-0.067797"
"000010","2019-12","0.030303"
"000010","2020-01","0.091176"
"000010","2020-02","-0.067385"
"000010","2020-03","0.011561"
"000010","2020-04","0.154286"
"000010","2020-05","-0.007426"
"000010","2020-06","-0.052369"
"000010","2020-07","0.092105"
"000010","2020-08","0.139759"
"000010","2020-09","-0.173362"
"000010","2020-10","0.005115"
"000010","2020-11","0.063613"
"000010","2020-12","-0.064593"
"000010","2021-01","-0.048593"
"000010","2021-02","-0.034946"
"000010","2021-03","0.142061"
"000010","2021-04","0.024390"
"000010","2021-05","-0.035714"
"000010","2021-06","-0.012346"
"000011","2019-07","0.025131"
"000011","2019-08","0.028601"
"000011","2019-09","-0.047666"
"000011","2019-10","-0.055266"
"000011","2019-11","-0.005519"
"000011","2019-12","0.044395"
"000011","2020-01","-0.062699"
"000011","2020-02","-0.134921"
"000011","2020-03","0.089122"
"000011","2020-04","0.091456"
"000011","2020-05","0.089060"
"000011","2020-06","0.685985"
"000011","2020-07","0.628125"
"000011","2020-08","-0.225720"
"000011","2020-09","-0.114527"
"000011","2020-10","-0.216685"
"000011","2020-11","-0.012152"
"000011","2020-12","-0.119392"
"000011","2021-01","-0.160230"
"000011","2021-02","0.089041"
"000011","2021-03","0.210243"
"000011","2021-04","-0.100966"
"000011","2021-05","0.098291"
"000011","2021-06","-0.053696"
"000012","2019-07","0.009615"
"000012","2019-08","-0.009524"
"000012","2019-09","0.014423"
"000012","2019-10","0.026066"
"000012","2019-11","0.009238"
"000012","2019-12","0.146453"
"000012","2020-01","-0.081836"
"000012","2020-02","0.100000"
"000012","2020-03","-0.132411"
"000012","2020-04","0.018223"
"000012","2020-05","0.017897"
"000012","2020-06","0.103297"
"000012","2020-07","0.220375"
"000012","2020-08","-0.029801"
"000012","2020-09","-0.040956"
"000012","2020-10","0.058719"
"000012","2020-11","0.151261"
"000012","2020-12","0.077372"
"000012","2021-01","-0.105691"
"000012","2021-02","-0.012121"
"000012","2021-03","-0.035276"
"000012","2021-04","0.424483"
"000012","2021-05","0.147321"
"000012","2021-06","0.006356"
"000014","2019-07","-0.030114"
"000014","2019-08","0.040685"
"000014","2019-09","-0.032922"
"000014","2019-10","-0.053192"
"000014","2019-11","-0.017978"
"000014","2019-12","0.065217"
"000014","2020-01","-0.020408"
"000014","2020-02","-0.105263"
"000014","2020-03","-0.041667"
"000014","2020-04","0.060102"
"000014","2020-05","0.044632"
"000014","2020-06","0.250915"
"000014","2020-07","0.238447"
"000014","2020-08","-0.173134"
"000014","2020-09","-0.053249"
"000014","2020-10","-0.116301"
"000014","2020-11","0.000000"
"000014","2020-12","-0.106796"
"000014","2021-01","-0.090580"
"000014","2021-02","0.062417"
"000014","2021-03","0.008750"
"000014","2021-04","-0.052045"
"000014","2021-05","0.043137"
"000014","2021-06","-0.027837"
"000016","2019-07","0.031411"
"000016","2019-08","0.040189"
"000016","2019-09","-0.045455"
"000016","2019-10","-0.028571"
"000016","2019-11","-0.012255"
"000016","2019-12","0.084367"
"000016","2020-01","0.192220"
"000016","2020-02","0.854127"
"000016","2020-03","-0.135611"
"000016","2020-04","-0.100599"
"000016","2020-05","-0.125166"
"000016","2020-06","0.028919"
"000016","2020-07","0.074504"
"000016","2020-08","-0.009695"
"000016","2020-09","-0.152448"
"000016","2020-10","-0.036304"
"000016","2020-11","0.159247"
"000016","2020-12","-0.023634"
"000016","2021-01","-0.022693"
"000016","2021-02","-0.063467"
"000016","2021-03","0.013223"
"000016","2021-04","0.050571"
"000016","2021-05","0.013975"
"000016","2021-06","0.036331"
"000017","2019-07","-0.040268"
"000017","2019-08","0.312354"
"000017","2019-09","-0.152753"
"000017","2019-10","-0.096436"
"000017","2019-11","-0.011601"
"000017","2019-12","0.061033"
"000017","2020-01","-0.115044"
"000017","2020-02","-0.075000"
"000017","2020-03","-0.040541"
"000017","2020-04","-0.104226"
"000017","2020-05","-0.292453"
"000017","2020-06","0.022222"
"000017","2020-07","0.200000"
"000017","2020-08","-0.061594"
"000017","2020-09","-0.069498"
"000017","2020-10","0.029046"
"000017","2020-11","0.012097"
"000017","2020-12","-0.039841"
"000017","2021-01","-0.008298"
"000017","2021-02","0.008368"
"000017","2021-03","0.199170"
"000017","2021-04","-0.058823"
"000017","2021-05","0.088235"
"000017","2021-06","0.192567"
"000018","2019-07","-0.124088"
"000018","2019-08","-0.125000"
"000018","2019-09","-0.095238"
"000018","2019-10","-0.136842"
"000018","2019-11","-0.402439"
"000018","2019-12","-0.448979"
"000018","2020-01","0.000000"
"000019","2019-07","-0.061538"
"000019","2019-08","-0.035767"
"000019","2019-09","-0.055641"
"000019","2019-10","-0.004910"
"000019","2019-11","-0.037829"
"000019","2019-12","0.039316"
"000019","2020-01","-0.034539"
"000019","2020-02","0.037479"
"000019","2020-03","0.287356"
"000019","2020-04","0.163265"
"000019","2020-05","-0.081140"
"000019","2020-06","-0.016284"
"000019","2020-07","0.181592"
"000019","2020-08","0.045263"
"000019","2020-09","-0.164149"
"000019","2020-10","-0.061446"
"000019","2020-11","0.003851"
"000019","2020-12","-0.040921"
"000019","2021-01","-0.165333"
"000019","2021-02","0.057508"
"000019","2021-03","0.107251"
"000019","2021-04","-0.060027"
"000019","2021-05","0.116110"
"000019","2021-06","-0.028404"
"000020","2019-07","-0.040293"
"000020","2019-08","0.053435"
"000020","2019-09","0.002718"
"000020","2019-10","-0.036134"
"000020","2019-11","-0.041237"
"000020","2019-12","0.043011"
"000020","2020-01","-0.042174"
"000020","2020-02","-0.050881"
"000020","2020-03","-0.064948"
"000020","2020-04","-0.003308"
"000020","2020-05","0.075221"
"000020","2020-06","0.180041"
"000020","2020-07","0.149956"
"000020","2020-08","-0.068992"
"000020","2020-09","-0.011401"
"000020","2020-10","-0.172158"
"000020","2020-11","-0.004975"
"000020","2020-12","-0.001000"
"000020","2021-01","-0.159159"
"000020","2021-02","0.036905"
"000020","2021-03","0.079219"
"000020","2021-04","-0.045745"
"000020","2021-05","0.015608"
"000020","2021-06","0.076838"
"000021","2019-07","0.003690"
"000021","2019-08","0.330882"
"000021","2019-09","0.024862"
"000021","2019-10","-0.086253"
"000021","2019-11","-0.058997"
