"Symbol","TradingDate","ChangeRatio"
"000300","2019-01-01","0.000000"
"000300","2019-01-02","-0.013658"
"000300","2019-01-03","-0.001580"
"000300","2019-01-04","0.023958"
"000300","2019-01-07","0.006070"
"000300","2019-01-08","-0.002161"
"000300","2019-01-09","0.010097"
"000300","2019-01-10","-0.001881"
"000300","2019-01-11","0.007190"
"000300","2019-01-14","-0.008722"
"000300","2019-01-15","0.019625"
"000300","2019-01-16","0.000212"
"000300","2019-01-17","-0.005509"
"000300","2019-01-18","0.018242"
"000300","2019-01-21","0.005512"
"000300","2019-01-22","-0.013284"
"000300","2019-01-23","-0.000720"
"000300","2019-01-24","0.005644"
"000300","2019-01-25","0.008132"
"000300","2019-01-28","-0.000217"
"000300","2019-01-29","0.003201"
"000300","2019-01-30","-0.007980"
"000300","2019-01-31","0.010462"
"000300","2019-02-01","0.014294"
"000300","2019-02-04","0.000000"
"000300","2019-02-05","0.000000"
"000300","2019-02-06","0.000000"
"000300","2019-02-07","0.000000"
"000300","2019-02-08","0.000000"
"000300","2019-02-11","0.018192"
"000300","2019-02-12","0.007217"
"000300","2019-02-13","0.020026"
"000300","2019-02-14","0.001505"
"000300","2019-02-15","-0.018646"
"000300","2019-02-18","0.032060"
"000300","2019-02-19","-0.001781"
"000300","2019-02-20","0.003582"
"000300","2019-02-21","-0.002671"
"000300","2019-02-22","0.022486"
"000300","2019-02-25","0.059477"
"000300","2019-02-26","-0.012009"
"000300","2019-02-27","-0.001710"
"000300","2019-02-28","-0.002453"
"000300","2019-03-01","0.021896"
"000300","2019-03-04","0.011838"
"000300","2019-03-05","0.005774"
"000300","2019-03-06","0.008406"
"000300","2019-03-07","-0.010197"
"000300","2019-03-08","-0.039716"
"000300","2019-03-11","0.019788"
"000300","2019-03-12","0.006809"
"000300","2019-03-13","-0.008297"
"000300","2019-03-14","-0.006903"
"000300","2019-03-15","0.012578"
"000300","2019-03-18","0.028503"
"000300","2019-03-19","-0.004617"
"000300","2019-03-20","0.000385"
"000300","2019-03-21","0.000378"
"000300","2019-03-22","-0.000805"
"000300","2019-03-25","-0.023730"
"000300","2019-03-26","-0.011325"
