"Markettype","Trdmnt","Mretwdos","Mmvosd"
"2","2000-01","0.074095","1813059.370"
"4","2000-01","0.176039","463285542.050"
"1","2000-01","0.146635","479242704.510"
"8","2000-01","0.029461","13306784.670"
"2","2000-02","-0.061353","1701821.710"
"4","2000-02","0.125314","524302648.520"
"1","2000-02","0.118843","538420255.820"
"8","2000-02","-0.023711","12991263.610"
"2","2000-03","0.095179","1863800.570"
"4","2000-03","0.062677","567201123.760"
"1","2000-03","0.049352","570957823.130"
"8","2000-03","0.095572","14232869.860"
"2","2000-04","0.029704","1919163.400"
"4","2000-04","0.011428","581999957.220"
"1","2000-04","0.014589","590293950.660"
"8","2000-04","-0.054195","13461505.090"
"2","2000-05","0.278178","2450971.920"
"4","2000-05","0.021919","607535436.770"
"1","2000-05","0.033381","617159640.360"
"8","2000-05","0.214823","15849190.910"
"2","2000-06","0.026379","2481916.860"
"4","2000-06","0.032922","643249989.730"
"1","2000-06","0.014663","642302440.050"
"8","2000-06","0.052623","16881394.500"
"2","2000-07","0.109089","2788006.800"
"4","2000-07","0.035511","676940796.890"
"1","2000-07","0.050990","693214946.660"
"8","2000-07","0.005015","17529213.070"
"2","2000-08","0.072660","2996145.760"
"4","2000-08","-0.009912","679290515.490"
"1","2000-08","0.000406","704609117.350"
"8","2000-08","0.038622","18172066.170"
"2","2000-09","-0.060536","2814768.680"
"4","2000-09","-0.039476","662919302.500"
"1","2000-09","-0.050767","682431490.530"
"8","2000-09","-0.094690","17028935.650"
"2","2000-10","0.119140","3150122.460"
"4","2000-10","0.024867","684086490.160"
"1","2000-10","0.023596","710977798.030"
"8","2000-10","0.069688","18427170.460"
"2","2000-11","0.071634","3375778.350"
"4","2000-11","0.056327","730364230.630"
"1","2000-11","0.052103","769674457.730"
"8","2000-11","0.035527","19016438.940"
"2","2000-12","0.202119","4058089.700"
"4","2000-12","-0.008009","735600570.830"
"1","2000-12","0.003496","818749190.120"
"8","2000-12","0.143999","21763153.240"
"2","2001-01","-0.043526","3881456.060"
"4","2001-01","-0.014113","732395979.930"
"1","2001-01","-0.007065","835385428.760"
"8","2001-01","-0.005634","21640526.970"
"2","2001-02","0.068401","4146952.840"
"4","2001-02","-0.064628","690694326.160"
"1","2001-02","-0.054828","813227985.230"
"8","2001-02","0.028367","22443024.040"
"2","2001-03","0.711526","7093767.270"
"4","2001-03","0.076717","747780062.710"
"1","2001-03","0.075230","894834393.290"
"8","2001-03","1.371702","53228168.830"
"2","2001-04","0.156684","8205249.450"
"4","2001-04","-0.011900","744346020.490"
"1","2001-04","-0.000064","903200186.260"
"8","2001-04","0.095851","58313491.470"
"2","2001-05","0.319730","10798270.440"
"4","2001-05","0.030640","767904814.000"
"1","2001-05","0.038863","954815372.010"
"8","2001-05","0.131888","66125532.050"
"2","2001-06","-0.086287","9826003.990"
"4","2001-06","-0.000258","768890279.180"
"1","2001-06","0.005274","971340235.450"
"8","2001-06","-0.121571","59599515.200"
"2","2001-07","-0.240455","7408758.490"
"4","2001-07","-0.133531","663504210.360"
"1","2001-07","-0.131690","851633791.610"
"8","2001-07","-0.253319","44263429.300"
"2","2001-08","-0.038481","7159077.040"
"4","2001-08","-0.031648","643068670.280"
"1","2001-08","-0.038005","843207784.020"
"8","2001-08","-0.012656","44075924.660"
"2","2001-09","-0.046055","7082914.210"
"4","2001-09","-0.067516","601717583.230"
"1","2001-09","-0.040153","813464849.820"
"8","2001-09","-0.114049","39278442.950"
"2","2001-10","0.031262","7333758.390"
"4","2001-10","-0.053518","570835579.810"
"1","2001-10","-0.044833","780682899.250"
"8","2001-10","0.033717","40896018.130"
"2","2001-11","0.057134","7752771.490"
"4","2001-11","0.039429","597897942.070"
"1","2001-11","0.038123","811881262.540"
"8","2001-11","0.060987","43390166.820"
"2","2001-12","0.038233","8049184.310"
"4","2001-12","-0.064791","560450632.430"
"1","2001-12","-0.061233","771247840.280"
"8","2001-12","0.006603","43873234.590"
"2","2002-01","-0.168528","6692669.160"
"4","2002-01","-0.116163","494461434.690"
"1","2002-01","-0.101607","696392334.010"
"8","2002-01","-0.204727","34891169.210"
"2","2002-02","0.004141","6720384.010"
"4","2002-02","0.033185","512785322.480"
"1","2002-02","0.024947","717692579.620"
"8","2002-02","0.050343","36647731.240"
"2","2002-03","0.056364","7099175.250"
"4","2002-03","0.075909","554793841.200"
"1","2002-03","0.059040","768067407.930"
"8","2002-03","0.037844","38034632.340"
"2","2002-04","-0.039188","6751640.050"
"4","2002-04","0.037947","578070377.880"
"1","2002-04","0.040317","817367601.300"
"8","2002-04","-0.008397","37709820.630"
"2","2002-05","-0.043760","6460703.400"
"4","2002-05","-0.077187","530308541.300"
"1","2002-05","-0.090728","745370363.130"
"8","2002-05","-0.096439","33742414.520"
"2","2002-06","0.095514","7098961.800"
"4","2002-06","0.135157","601655963.370"
"1","2002-06","0.131440","850334489.530"
"8","2002-06","0.147001","38322833.060"
"2","2002-07","0.001816","7093517.210"
"4","2002-07","-0.041350","578569273.600"
"1","2002-07","-0.039338","825900391.100"
"8","2002-07","0.019119","38820355.390"
"2","2002-08","0.006571","7135008.010"
"4","2002-08","0.009643","585382134.600"
"1","2002-08","0.003825","841494220.920"
"8","2002-08","0.004483","38975095.500"
"2","2002-09","-0.046618","6802383.340"
"4","2002-09","-0.058952","553412392.660"
"1","2002-09","-0.053328","805396398.270"
"8","2002-09","-0.049998","37026403.090"
"2","2002-10","-0.103221","6037669.240"
"4","2002-10","-0.049247","527117315.200"
"1","2002-10","-0.052518","773328654.850"
"8","2002-10","-0.132961","32280334.150"
"2","2002-11","-0.084414","5528004.400"
"4","2002-11","-0.072622","490644233.600"
"1","2002-11","-0.055925","733527585.640"
"8","2002-11","-0.027622","31388667.210"
"2","2002-12","-0.045499","5343066.700"
"4","2002-12","-0.049306","469136429.780"
"1","2002-12","-0.052954","701961069.450"
"8","2002-12","-0.039766","30413059.240"
"2","2003-01","0.121258","5990957.960"
"4","2003-01","0.095569","514254676.220"
"1","2003-01","0.095442","780092528.140"
"8","2003-01","0.119192","34083197.890"
"2","2003-02","-0.012460","5916304.130"
"4","2003-02","0.010516","520408640.200"
"1","2003-02","0.009179","789187409.820"
"8","2003-02","-0.015641","33550096.440"
"2","2003-03","-0.025650","5764546.030"
"4","2003-03","-0.017647","509375255.540"
"1","2003-03","-0.010166","785608105.080"
"8","2003-03","-0.015616","33109700.030"
"2","2003-04","-0.031444","5583281.310"
"4","2003-04","-0.016373","501368502.470"
"1","2003-04","-0.009252","796869293.090"
"8","2003-04","0.045579","34618836.920"
"2","2003-05","0.007545","5487774.830"
"4","2003-05","0.050463","522950350.730"
"1","2003-05","0.039792","825733507.550"
"8","2003-05","0.063838","35209336.260"
"2","2003-06","-0.058439","5226538.820"
"4","2003-06","-0.078830","482593807.180"
"1","2003-06","-0.059331","779273240.660"
