Markettype,Trdmnt,Mretwdeq,Mretmdeq,Mretwdos,Mretmdos
4,2000-01,0.15225,0.152133,0.176039,0.175733
1,2000-01,0.127574,0.127563,0.146635,0.146628
4,2000-02,0.128477,0.128309,0.125314,0.125094
1,2000-02,0.127682,0.12765,0.118843,0.118817
4,2000-03,0.121592,0.121398,0.062677,0.062553
1,2000-03,0.08723,0.087212,0.049352,0.049364
4,2000-04,0.009878,0.009898,0.011428,0.01145
1,2000-04,0.021315,0.021309,0.014589,0.014584
4,2000-05,0.039723,0.039786,0.021919,0.022022
1,2000-05,0.03882,0.038796,0.033381,0.033366
4,2000-06,0.032013,0.032049,0.032922,0.03293
1,2000-06,0.014859,0.014801,0.014663,0.014644
4,2000-07,0.050576,0.050506,0.035511,0.035474
1,2000-07,0.05544,0.055377,0.05099,0.05094
4,2000-08,-0.00102,-0.001002,-0.009912,-0.009842
1,2000-08,0.019316,0.019308,0.000406,0.00039
4,2000-09,-0.031923,-0.031873,-0.039476,-0.039424
1,2000-09,-0.041993,-0.041799,-0.050767,-0.050536
4,2000-10,0.037768,0.037767,0.024867,0.024869
1,2000-10,0.037491,0.037488,0.023596,0.02359
4,2000-11,0.060167,0.060049,0.056327,0.0562
1,2000-11,0.060627,0.06053,0.052103,0.052029
4,2000-12,-0.000926,-0.000921,-0.008009,-0.007985
1,2000-12,0.013578,0.013691,0.003496,0.003649
4,2001-01,-0.013182,-0.013229,-0.014113,-0.01417
1,2001-01,-0.009423,-0.009342,-0.007065,-0.00701
4,2001-02,-0.072536,-0.072256,-0.064628,-0.06442
1,2001-02,-0.058034,-0.057558,-0.054828,-0.054199
4,2001-03,0.085902,0.085858,0.076717,0.076683
1,2001-03,0.079052,0.079055,0.07523,0.075218
4,2001-04,-0.003923,-0.003917,-0.0119,-0.011883
1,2001-04,0.009426,0.009431,-0.000064,-0.000059
4,2001-05,0.049357,0.049343,0.03064,0.030639
1,2001-05,0.055893,0.055889,0.038863,0.038872
4,2001-06,0.011058,0.01106,-0.000258,-0.000256
1,2001-06,0.009154,0.009123,0.005274,0.005241
4,2001-07,-0.135535,-0.135424,-0.133531,-0.133405
1,2001-07,-0.130999,-0.130875,-0.13169,-0.131522
4,2001-08,-0.02736,-0.027339,-0.031648,-0.031625
1,2001-08,-0.029633,-0.029534,-0.038005,-0.037907
4,2001-09,-0.067078,-0.066979,-0.067516,-0.06744
1,2001-09,-0.048994,-0.048986,-0.040153,-0.04015
4,2001-10,-0.060309,-0.060257,-0.053518,-0.053487
1,2001-10,-0.05103,-0.050914,-0.044833,-0.044756
4,2001-11,0.051665,0.051652,0.039429,0.039425
1,2001-11,0.051173,0.051147,0.038123,0.038104
4,2001-12,-0.075426,-0.07538,-0.064791,-0.064751
1,2001-12,-0.065282,-0.065133,-0.061233,-0.061012
4,2002-01,-0.134381,-0.134309,-0.116163,-0.116094
1,2002-01,-0.112731,-0.112731,-0.101607,-0.101606
4,2002-02,0.048505,0.048479,0.033185,0.033155
1,2002-02,0.032821,0.032808,0.024947,0.02494
4,2002-03,0.088822,0.088626,0.075909,0.075728
1,2002-03,0.069367,0.069373,0.05904,0.059051
4,2002-04,0.050426,0.050428,0.037947,0.037951
1,2002-04,0.051933,0.052012,0.040317,0.040363
4,2002-05,-0.081223,-0.081077,-0.077187,-0.077079
1,2002-05,-0.091623,-0.0915,-0.090728,-0.090652
4,2002-06,0.123301,0.123083,0.135157,0.13491
1,2002-06,0.11275,0.112611,0.13144,0.131143
4,2002-07,-0.039657,-0.039619,-0.04135,-0.041302
1,2002-07,-0.034444,-0.034382,-0.039338,-0.039261
4,2002-08,0.012376,0.012391,0.009643,0.009643
1,2002-08,0.00541,0.005413,0.003825,0.003834
4,2002-09,-0.061016,-0.06094,-0.058952,-0.058897
1,2002-09,-0.052116,-0.052119,-0.053328,-0.05333
4,2002-10,-0.051321,-0.051269,-0.049247,-0.049219
1,2002-10,-0.057171,-0.057149,-0.052518,-0.052475
4,2002-11,-0.086647,-0.086579,-0.072622,-0.072563
1,2002-11,-0.069075,-0.069075,-0.055925,-0.055926
4,2002-12,-0.046826,-0.046793,-0.049306,-0.049275
1,2002-12,-0.053899,-0.053877,-0.052954,-0.052929
4,2003-01,0.106316,0.106316,0.095569,0.095569
1,2003-01,0.099015,0.098874,0.095442,0.095302
4,2003-02,0.013832,0.01383,0.010516,0.010513
1,2003-02,0.015384,0.015384,0.009179,0.009179
4,2003-03,-0.028989,-0.028954,-0.017647,-0.017593
1,2003-03,-0.023114,-0.023109,-0.010166,-0.010162
4,2003-04,-0.04172,-0.041746,-0.016373,-0.016389
1,2003-04,-0.042068,-0.042074,-0.009252,-0.009245
4,2003-05,0.04449,0.044471,0.050463,0.050442
1,2003-05,0.038144,0.038149,0.039792,0.039787
4,2003-06,-0.07179,-0.071626,-0.07883,-0.078647
1,2003-06,-0.062738,-0.062629,-0.059331,-0.059196
4,2003-07,-0.03168,-0.031633,-0.017104,-0.017052
1,2003-07,-0.028972,-0.028913,-0.009343,-0.009309
4,2003-08,-0.018183,-0.018122,-0.023363,-0.023247
1,2003-08,-0.027352,-0.027322,-0.035782,-0.035732
4,2003-09,-0.046245,-0.046184,-0.045554,-0.045406
1,2003-09,-0.044286,-0.044252,-0.042066,-0.042045
4,2003-10,-0.062951,-0.062974,-0.03962,-0.039644
1,2003-10,-0.066388,-0.066368,-0.036842,-0.036815
4,2003-11,0.011078,0.011082,0.016354,0.016362
1,2003-11,0.020138,0.020141,0.023336,0.023363
4,2003-12,-0.016218,-0.016312,0.016023,0.015921
1,2003-12,-0.000764,-0.000695,0.03365,0.03376
4,2004-01,0.086068,0.086022,0.071961,0.071811
1,2004-01,0.089844,0.089799,0.076323,0.076273
4,2004-02,0.112471,0.112463,0.09233,0.092317
1,2004-02,0.087325,0.0873,0.059385,0.059366
4,2004-03,0.049137,0.049134,0.037121,0.037133
1,2004-03,0.038098,0.038099,0.029477,0.029484
4,2004-04,-0.106759,-0.106735,-0.11352,-0.113459
1,2004-04,-0.09593,-0.095876,-0.090859,-0.0908
4,2004-05,-0.009776,-0.00972,-0.015178,-0.015123
1,2004-05,-0.023052,-0.023042,-0.027409,-0.027411
4,2004-06,-0.132602,-0.132469,-0.117511,-0.117345
1,2004-06,-0.117518,-0.117373,-0.110769,-0.110627
4,2004-07,-0.018902,-0.018793,-0.003116,-0.002982
1,2004-07,-0.025555,-0.025551,-0.003673,-0.00383
4,2004-08,-0.053756,-0.05374,-0.048064,-0.048041
1,2004-08,-0.055445,-0.055445,-0.042371,-0.042356
4,2004-09,0.05285,0.052854,0.06256,0.062567
1,2004-09,0.052084,0.052062,0.048182,0.048137
4,2004-10,-0.073761,-0.073779,-0.058364,-0.058364
1,2004-10,-0.064666,-0.064666,-0.052676,-0.052675
4,2004-11,0.045613,0.045616,0.020715,0.020718
1,2004-11,0.047014,0.047012,0.023902,0.023901
4,2004-12,-0.087474,-0.087471,-0.078422,-0.078417
1,2004-12,-0.07826,-0.078231,-0.06292,-0.06289
4,2005-01,-0.0724,-0.0724,-0.061669,-0.061669
1,2005-01,-0.070078,-0.070134,-0.057304,-0.057314
4,2005-02,0.10593,0.10593,0.101367,0.101367
1,2005-02,0.10805,0.108036,0.092677,0.09266
4,2005-03,-0.121489,-0.121487,-0.104292,-0.104291
1,2005-03,-0.126698,-0.126694,-0.107034,-0.107033
4,2005-04,-0.08433,-0.08427,-0.039897,-0.039844
1,2005-04,-0.062872,-0.062829,-0.025799,-0.025784
4,2005-05,-0.037814,-0.037761,-0.075361,-0.075278
1,2005-05,-0.0428,-0.042754,-0.065935,-0.065879
4,2005-06,-0.003312,-0.003318,-0.00701,-0.006932
1,2005-06,0.005224,0.00523,0.02411,0.02397
4,2005-07,-0.06764,-0.067774,-0.023576,-0.023824
1,2005-07,-0.061896,-0.061984,-0.014352,-0.014468
4,2005-08,0.167239,0.167226,0.097689,0.097725
1,2005-08,0.150699,0.150629,0.083613,0.083632
4,2005-09,0.027274,0.027277,0.00721,0.007215
1,2005-09,0.028482,0.02848,0.003398,0.003395
4,2005-10,-0.056818,-0.056816,-0.049084,-0.049082
1,2005-10,-0.060786,-0.060786,-0.052002,-0.052
4,2005-11,0.015157,0.015157,-0.000057,-0.000054
1,2005-11,0.011559,0.011568,-0.002359,-0.002341
4,2005-12,0.022317,0.02232,0.056488,0.056489
1,2005-12,0.030791,0.030787,0.04759,0.047569
4,2006-01,0.083178,0.083178,0.106445,0.106445
1,2006-01,0.092751,0.092761,0.090154,0.090162
4,2006-02,0.041273,0.041976,0.039279,0.039571
1,2006-02,0.027331,0.027346,0.031872,0.031884
4,2006-03,0.008989,0.009664,0.028457,0.029136
1,2006-03,0.013594,0.013575,0.010597,0.010566
4,2006-04,0.082028,0.082384,0.109815,0.111885
1,2006-04,0.092969,0.095544,0.117861,0.123206
4,2006-05,0.26844,0.268373,0.216554,0.216383
1,2006-05,0.263834,0.267126,0.198152,0.222632
4,2006-06,0.072087,0.072121,0.049494,0.050739
1,2006-06,0.066618,0.066645,0.041245,0.041656
4,2006-07,-0.028202,-0.027134,-0.058505,-0.057593
1,2006-07,-0.024147,-0.022589,-0.053249,-0.051886
1,2006-08,0.033694,0.033875,0.03598,0.036322
4,2006-08,0.027024,0.02804,0.039628,0.040088
1,2006-09,0.05592,0.056226,0.054026,0.05441
4,2006-09,0.055754,0.056338,0.041722,0.041902
1,2006-10,0.0018,0.002228,0.020366,0.020526
4,2006-10,-0.004388,-0.004391,0.016705,0.016702
1,2006-11,0.048313,0.048291,0.123337,0.123114
4,2006-11,0.035394,0.035386,0.120563,0.120548
1,2006-12,0.056853,0.056834,0.158519,0.158473
4,2006-12,0.058271,0.064643,0.115966,0.118388
1,2007-01,0.252848,0.252845,0.19198,0.191977
4,2007-01,0.232688,0.232688,0.199118,0.199118
1,2007-02,0.191311,0.191311,0.092254,0.092254
4,2007-02,0.194457,0.194456,0.135815,0.135815
1,2007-03,0.180017,0.180599,0.121139,0.121242
4,2007-03,0.218359,0.220927,0.13509,0.137034
1,2007-04,0.361309,0.36128,0.292456,0.292417
4,2007-04,0.316231,0.316128,0.310451,0.31038
1,2007-05,0.10697,0.106992,0.08465,0.084682
4,2007-05,0.096218,0.096246,0.139638,0.139523
1,2007-06,-0.161182,-0.161011,-0.081023,-0.080895
4,2007-06,-0.142685,-0.138861,-0.091076,-0.084414
1,2007-07,0.240795,0.240542,0.190893,0.190616
4,2007-07,0.222409,0.222057,0.207902,0.207637
1,2007-08,0.129539,0.129489,0.167286,0.167206
4,2007-08,0.135691,0.135649,0.146161,0.146046
1,2007-09,0.049419,0.049393,0.050619,0.050483
4,2007-09,0.036088,0.036087,0.049316,0.049285
