"Markettype","Trdwnt","Cwretmdos"
"5","2017-01","0.017971"
"10","2017-01","0.004658"
"15","2017-01","0.017900"
"21","2017-01","0.017036"
"31","2017-01","0.016975"
"37","2017-01","0.017971"
"47","2017-01","0.017900"
"53","2017-01","0.017036"
"63","2017-01","0.016975"
"69","2017-01","0.017971"
"79","2017-01","0.017900"
"85","2017-01","0.017036"
"95","2017-01","0.016975"
"101","2017-01","0.017971"
"111","2017-01","0.017900"
"117","2017-01","0.017036"
"127","2017-01","0.016975"
"33","2017-01","0.019584"
"20","2017-01","0.012877"
"5","2017-02","-0.016516"
"10","2017-02","-0.015983"
"15","2017-02","-0.016514"
"21","2017-02","-0.018476"
"31","2017-02","-0.018464"
"37","2017-02","-0.016516"
"47","2017-02","-0.016514"
"53","2017-02","-0.018476"
"63","2017-02","-0.018464"
"69","2017-02","-0.016516"
"79","2017-02","-0.016514"
"85","2017-02","-0.018476"
"95","2017-02","-0.018464"
"101","2017-02","-0.016516"
"111","2017-02","-0.016514"
"117","2017-02","-0.018476"
"127","2017-02","-0.018464"
"33","2017-02","-0.009796"
"20","2017-02","-0.032637"
"5","2017-03","-0.000548"
"10","2017-03","-0.010969"
"15","2017-03","-0.000603"
"21","2017-03","-0.002070"
"31","2017-03","-0.002113"
"37","2017-03","-0.000548"
"47","2017-03","-0.000603"
"53","2017-03","-0.002070"
"63","2017-03","-0.002113"
"69","2017-03","-0.000548"
"79","2017-03","-0.000603"
"85","2017-03","-0.002070"
"95","2017-03","-0.002113"
"101","2017-03","-0.000548"
"111","2017-03","-0.000603"
"117","2017-03","-0.002070"
"127","2017-03","-0.002113"
"33","2017-03","0.005628"
"20","2017-03","-0.014835"
"5","2017-04","0.013777"
"10","2017-04","0.011550"
"15","2017-04","0.013765"
"21","2017-04","0.013826"
"31","2017-04","0.013815"
"37","2017-04","0.013777"
"47","2017-04","0.013765"
"53","2017-04","0.013826"
"63","2017-04","0.013815"
"69","2017-04","0.013777"
"79","2017-04","0.013765"
"85","2017-04","0.013826"
"95","2017-04","0.013815"
"101","2017-04","0.013777"
"111","2017-04","0.013765"
"117","2017-04","0.013826"
"127","2017-04","0.013815"
"33","2017-04","0.011889"
"20","2017-04","0.017090"
"5","2017-05","-0.005529"
"10","2017-05","-0.009991"
"15","2017-05","-0.005552"
"21","2017-05","-0.005523"
"31","2017-05","-0.005544"
"37","2017-05","-0.005529"
"47","2017-05","-0.005552"
"53","2017-05","-0.005523"
"63","2017-05","-0.005544"
"69","2017-05","-0.005529"
"79","2017-05","-0.005552"
"85","2017-05","-0.005523"
"95","2017-05","-0.005544"
"101","2017-05","-0.005529"
"111","2017-05","-0.005552"
"117","2017-05","-0.005523"
"127","2017-05","-0.005544"
"33","2017-05","-0.006416"
"20","2017-05","-0.004024"
"10","2017-06","0.014894"
"5","2017-06","0.019616"
"15","2017-06","0.019593"
"21","2017-06","0.019850"
"31","2017-06","0.019827"
"37","2017-06","0.019616"
"47","2017-06","0.019593"
"53","2017-06","0.019850"
"63","2017-06","0.019827"
"69","2017-06","0.019616"
"79","2017-06","0.019593"
"85","2017-06","0.019850"
"95","2017-06","0.019827"
"101","2017-06","0.019616"
"111","2017-06","0.019593"
"117","2017-06","0.019850"
"127","2017-06","0.019827"
"33","2017-06","0.017691"
"20","2017-06","0.023446"
"10","2017-07","0.008493"
"5","2017-07","0.000123"
"15","2017-07","0.000165"
"21","2017-07","-0.000642"
"31","2017-07","-0.000599"
"37","2017-07","0.000123"
"47","2017-07","0.000165"
"53","2017-07","-0.000642"
"63","2017-07","-0.000599"
"69","2017-07","0.000123"
"79","2017-07","0.000165"
"85","2017-07","-0.000642"
"95","2017-07","-0.000599"
"101","2017-07","0.000123"
"111","2017-07","0.000165"
"117","2017-07","-0.000642"
"127","2017-07","-0.000599"
"33","2017-07","0.000244"
"20","2017-07","-0.002110"
"10","2017-08","0.017548"
"5","2017-08","0.017543"
"15","2017-08","0.017543"
"21","2017-08","0.018814"
"31","2017-08","0.018808"
"37","2017-08","0.017543"
"47","2017-08","0.017543"
"53","2017-08","0.018814"
"63","2017-08","0.018808"
"69","2017-08","0.017543"
"79","2017-08","0.017543"
"85","2017-08","0.018814"
"95","2017-08","0.018808"
"101","2017-08","0.017543"
"111","2017-08","0.017543"
"117","2017-08","0.018814"
"127","2017-08","0.018808"
"33","2017-08","0.015064"
"20","2017-08","0.025067"
"10","2017-09","-0.000907"
"5","2017-09","-0.010640"
"15","2017-09","-0.010592"
"21","2017-09","-0.009809"
"31","2017-09","-0.009768"
"37","2017-09","-0.010640"
"47","2017-09","-0.010592"
"53","2017-09","-0.009809"
"63","2017-09","-0.009768"
"69","2017-09","-0.010640"
"79","2017-09","-0.010592"
"85","2017-09","-0.009809"
"95","2017-09","-0.009768"
"101","2017-09","-0.010640"
