"SgnDate","Term_EN","Shibor"
"2017-01-03","90 days","3.28130"
"2017-01-03","14 days","2.81700"
"2017-01-03","1 day","2.20900"
"2017-01-03","7 days","2.58900"
"2017-01-03","6 months","3.30370"
"2017-01-03","9 months","3.33100"
"2017-01-03","1 year","3.38330"
"2017-01-03","30 days","3.31260"
"2017-01-04","7 days","2.54500"
"2017-01-04","9 months","3.33910"
"2017-01-04","14 days","2.80500"
"2017-01-04","6 months","3.30940"
"2017-01-04","30 days","3.32230"
"2017-01-04","1 day","2.17200"
"2017-01-04","90 days","3.29120"
"2017-01-04","1 year","3.39040"
"2017-01-05","9 months","3.36700"
"2017-01-05","1 year","3.43110"
"2017-01-05","90 days","3.33840"
"2017-01-05","14 days","2.79200"
"2017-01-05","7 days","2.47400"
"2017-01-05","6 months","3.34500"
"2017-01-05","1 day","2.13000"
"2017-01-05","30 days","3.35780"
"2017-01-06","14 days","2.78200"
"2017-01-06","9 months","3.44130"
"2017-01-06","6 months","3.43800"
"2017-01-06","1 day","2.11200"
"2017-01-06","7 days","2.44100"
"2017-01-06","90 days","3.43880"
"2017-01-06","1 year","3.48820"
"2017-01-06","30 days","3.41010"
"2017-01-09","14 days","2.76500"
"2017-01-09","30 days","3.47380"
"2017-01-09","1 day","2.09400"
"2017-01-09","6 months","3.50930"
"2017-01-09","90 days","3.51520"
"2017-01-09","1 year","3.53290"
"2017-01-09","7 days","2.41000"
"2017-01-09","9 months","3.49620"
"2017-01-10","14 days","2.76200"
"2017-01-10","1 day","2.09600"
"2017-01-10","30 days","3.53140"
"2017-01-10","6 months","3.54810"
"2017-01-10","90 days","3.55260"
"2017-01-10","1 year","3.55330"
"2017-01-10","7 days","2.39900"
"2017-01-10","9 months","3.52470"
"2017-01-11","14 days","2.75300"
"2017-01-11","1 day","2.10400"
"2017-01-11","1 year","3.56740"
"2017-01-11","30 days","3.56620"
"2017-01-11","6 months","3.58090"
"2017-01-11","7 days","2.39000"
"2017-01-11","90 days","3.58530"
"2017-01-11","9 months","3.54950"
"2017-01-12","14 days","2.74300"
"2017-01-12","6 months","3.62010"
"2017-01-12","7 days","2.39400"
"2017-01-12","90 days","3.65360"
"2017-01-12","30 days","3.63870"
"2017-01-12","9 months","3.57200"
"2017-01-12","1 day","2.10300"
"2017-01-12","1 year","3.58380"
"2017-01-13","14 days","2.76260"
"2017-01-13","30 days","3.67180"
"2017-01-13","1 day","2.10400"
"2017-01-13","6 months","3.64610"
"2017-01-13","90 days","3.68740"
"2017-01-13","1 year","3.60140"
"2017-01-13","7 days","2.39800"
"2017-01-13","9 months","3.58720"
"2017-01-16","14 days","2.78150"
"2017-01-16","1 day","2.14200"
"2017-01-16","30 days","3.68520"
"2017-01-16","6 months","3.66170"
"2017-01-16","90 days","3.70180"
"2017-01-16","1 year","3.61020"
"2017-01-16","7 days","2.42390"
"2017-01-16","9 months","3.59680"
"2017-01-17","14 days","2.80760"
"2017-01-17","1 day","2.25630"
"2017-01-17","1 year","3.63210"
"2017-01-17","30 days","3.71160"
"2017-01-17","6 months","3.68120"
"2017-01-17","7 days","2.46660"
"2017-01-17","90 days","3.72220"
"2017-01-17","9 months","3.61170"
"2017-01-18","14 days","2.85500"
"2017-01-18","6 months","3.69820"
"2017-01-18","7 days","2.50420"
"2017-01-18","90 days","3.74910"
"2017-01-18","30 days","3.75020"
"2017-01-18","9 months","3.62720"
"2017-01-18","1 day","2.32800"
"2017-01-18","1 year","3.65130"
"2017-01-19","14 days","2.95440"
"2017-01-19","30 days","3.79510"
"2017-01-19","1 day","2.36400"
"2017-01-19","6 months","3.73690"
"2017-01-19","90 days","3.80300"
"2017-01-19","1 year","3.66020"
"2017-01-19","7 days","2.53800"
"2017-01-19","9 months","3.63980"
"2017-01-20","14 days","3.00770"
"2017-01-20","1 day","2.37600"
"2017-01-20","30 days","3.81960"
"2017-01-20","6 months","3.74270"
"2017-01-20","90 days","3.82130"
"2017-01-20","1 year","3.66910"
"2017-01-20","7 days","2.59300"
"2017-01-20","9 months","3.64700"
"2017-01-22","14 days","3.01310"
"2017-01-22","1 day","2.18900"
"2017-01-22","1 year","3.67700"
"2017-01-22","30 days","3.80800"
"2017-01-22","6 months","3.76280"
"2017-01-22","7 days","2.60700"
"2017-01-22","90 days","3.83010"
"2017-01-22","9 months","3.65570"
"2017-01-23","30 days","3.81180"
"2017-01-23","1 day","2.17500"
"2017-01-23","7 days","2.63700"
"2017-01-23","9 months","3.66660"
"2017-01-23","90 days","3.84010"
"2017-01-23","6 months","3.77400"
"2017-01-23","14 days","3.02150"
"2017-01-23","1 year","3.68470"
"2017-01-24","14 days","3.03850"
"2017-01-24","1 day","2.16400"
"2017-01-24","1 year","3.69050"
"2017-01-24","30 days","3.81420"
"2017-01-24","6 months","3.78020"
"2017-01-24","7 days","2.66200"
"2017-01-24","90 days","3.84010"
"2017-01-24","9 months","3.67870"
"2017-01-25","6 months","3.81460"
"2017-01-25","1 year","3.71360"
"2017-01-25","9 months","3.70050"
"2017-01-25","90 days","3.85510"
"2017-01-25","30 days","3.82950"
"2017-01-25","14 days","3.06720"
"2017-01-25","1 day","2.16500"
"2017-01-25","7 days","2.68400"
"2017-01-26","14 days","3.17630"
"2017-01-26","1 year","3.73960"
"2017-01-26","9 months","3.72330"
"2017-01-26","1 day","2.52930"
"2017-01-26","90 days","3.87060"
"2017-01-26","30 days","3.85100"
"2017-01-26","6 months","3.83770"
"2017-01-26","7 days","2.69100"
"2017-02-03","30 days","3.87610"
"2017-02-03","1 day","2.21800"
"2017-02-03","7 days","2.65200"
"2017-02-03","9 months","3.77050"
"2017-02-03","90 days","3.91750"
"2017-02-03","6 months","3.87800"
"2017-02-03","14 days","3.06750"
"2017-02-03","1 year","3.78600"
"2017-02-04","14 days","3.04340"
"2017-02-04","1 day","2.25710"
"2017-02-04","1 year","3.82140"
"2017-02-04","30 days","3.89070"
"2017-02-04","6 months","3.90390"
"2017-02-04","7 days","2.64800"
"2017-02-04","90 days","3.93480"
"2017-02-04","9 months","3.80920"
"2017-02-06","6 months","3.91950"
"2017-02-06","1 year","3.85420"
"2017-02-06","9 months","3.84700"
"2017-02-06","90 days","3.94970"
"2017-02-06","30 days","3.90310"
"2017-02-06","14 days","3.05620"
"2017-02-06","1 day","2.27800"
"2017-02-06","7 days","2.62800"
"2017-02-07","14 days","3.06700"
"2017-02-07","1 year","3.88200"
