"Markettype","Trdmnt","Cmretmdos"
"5","2005-12","0.050636"
"10","2005-12","0.013669"
"15","2005-12","0.048448"
"21","2005-12","0.050636"
"31","2005-12","0.048448"
"63","2005-12","0.048448"
"37","2005-12","0.050636"
"47","2005-12","0.048448"
"53","2005-12","0.050636"
"69","2005-12","0.050636"
"79","2005-12","0.048448"
"85","2005-12","0.050636"
"95","2005-12","0.048448"
"101","2005-12","0.050636"
"111","2005-12","0.048448"
"117","2005-12","0.050636"
"127","2005-12","0.048448"
"33","2005-12","0.047569"
"20","2005-12","0.056489"
"5","2006-01","0.095758"
"10","2006-01","0.315882"
"15","2006-01","0.108479"
"21","2006-01","0.095758"
"31","2006-01","0.108479"
"63","2006-01","0.108479"
"37","2006-01","0.095758"
"47","2006-01","0.108479"
"53","2006-01","0.095758"
"69","2006-01","0.095758"
"79","2006-01","0.108479"
"85","2006-01","0.095758"
"95","2006-01","0.108479"
"101","2006-01","0.095758"
"111","2006-01","0.108479"
"117","2006-01","0.095758"
"127","2006-01","0.108479"
"33","2006-01","0.090162"
"20","2006-01","0.106445"
"5","2006-02","0.034513"
"10","2006-02","0.007325"
"15","2006-02","0.032635"
"21","2006-02","0.034513"
"31","2006-02","0.032635"
"63","2006-02","0.032635"
"37","2006-02","0.034513"
"47","2006-02","0.032635"
"53","2006-02","0.034513"
"69","2006-02","0.034513"
"79","2006-02","0.032635"
"85","2006-02","0.034513"
"95","2006-02","0.032635"
"101","2006-02","0.034513"
"111","2006-02","0.032635"
"117","2006-02","0.034513"
"127","2006-02","0.032635"
"33","2006-02","0.031884"
"20","2006-02","0.039571"
"5","2006-03","0.017107"
"10","2006-03","0.041891"
"15","2006-03","0.018780"
"21","2006-03","0.017107"
"31","2006-03","0.018780"
"63","2006-03","0.018780"
"37","2006-03","0.017107"
"47","2006-03","0.018780"
"53","2006-03","0.017107"
"69","2006-03","0.017107"
"79","2006-03","0.018780"
"85","2006-03","0.017107"
"95","2006-03","0.018780"
"101","2006-03","0.017107"
"111","2006-03","0.018780"
"117","2006-03","0.017107"
"127","2006-03","0.018780"
"33","2006-03","0.010566"
"20","2006-03","0.029136"
"5","2006-04","0.119175"
"10","2006-04","0.058993"
"15","2006-04","0.115037"
"21","2006-04","0.119175"
"31","2006-04","0.115037"
"63","2006-04","0.115037"
"37","2006-04","0.119175"
"47","2006-04","0.115037"
"53","2006-04","0.119175"
"69","2006-04","0.119175"
"79","2006-04","0.115037"
"85","2006-04","0.119175"
"95","2006-04","0.115037"
"101","2006-04","0.119175"
"111","2006-04","0.115037"
"117","2006-04","0.119175"
"127","2006-04","0.115037"
"33","2006-04","0.123206"
"20","2006-04","0.111885"
"5","2006-05","0.220444"
"10","2006-05","0.096299"
"15","2006-05","0.212263"
"21","2006-05","0.220444"
"31","2006-05","0.212263"
"63","2006-05","0.212263"
"37","2006-05","0.220444"
"47","2006-05","0.212263"
"53","2006-05","0.220444"
"69","2006-05","0.220444"
"79","2006-05","0.212263"
"85","2006-05","0.220444"
"95","2006-05","0.212263"
"101","2006-05","0.220444"
"111","2006-05","0.212263"
"117","2006-05","0.220444"
"127","2006-05","0.212263"
"33","2006-05","0.222632"
"20","2006-05","0.216383"
"5","2006-06","0.044825"
"10","2006-06","-0.017041"
"15","2006-06","0.041217"
"21","2006-06","0.044825"
"31","2006-06","0.041217"
"63","2006-06","0.041217"
"37","2006-06","0.044825"
"47","2006-06","0.041217"
"53","2006-06","0.044825"
"69","2006-06","0.044825"
"79","2006-06","0.041217"
"85","2006-06","0.044825"
"95","2006-06","0.041217"
"101","2006-06","0.044825"
"111","2006-06","0.041217"
"117","2006-06","0.044825"
"127","2006-06","0.041217"
"33","2006-06","0.041656"
"20","2006-06","0.050739"
"5","2006-07","-0.053896"
"10","2006-07","-0.004504"
"15","2006-07","-0.051207"
"21","2006-07","-0.053896"
"31","2006-07","-0.051207"
"63","2006-07","-0.051207"
"37","2006-07","-0.053896"
"47","2006-07","-0.051207"
"53","2006-07","-0.053896"
"69","2006-07","-0.053896"
"79","2006-07","-0.051207"
"85","2006-07","-0.053896"
"95","2006-07","-0.051207"
"101","2006-07","-0.053896"
"111","2006-07","-0.051207"
"117","2006-07","-0.053896"
"127","2006-07","-0.051207"
"33","2006-07","-0.051886"
"20","2006-07","-0.057593"
"10","2006-08","0.022538"
"5","2006-08","0.037628"
"15","2006-08","0.036792"
"21","2006-08","0.037628"
"31","2006-08","0.036792"
"63","2006-08","0.036792"
"37","2006-08","0.037628"
"47","2006-08","0.036792"
"53","2006-08","0.037628"
"69","2006-08","0.037628"
"79","2006-08","0.036792"
"85","2006-08","0.037628"
"95","2006-08","0.036792"
"101","2006-08","0.037628"
"111","2006-08","0.036792"
"117","2006-08","0.037628"
"127","2006-08","0.036792"
"33","2006-08","0.036322"
"20","2006-08","0.040088"
"10","2006-09","0.129559"
"5","2006-09","0.050158"
