"Markettype","Trdmnt","Cmretmdos"
"5","1990-12",""
"15","1990-12",""
"21","1990-12",""
"31","1990-12",""
"63","1990-12",""
"37","1990-12",""
"47","1990-12",""
"53","1990-12",""
"69","1990-12",""
"79","1990-12",""
"85","1990-12",""
"95","1990-12",""
"101","1990-12",""
"111","1990-12",""
"117","1990-12",""
"127","1990-12",""
"33","1990-12",""
"5","1991-01","0.029998"
"15","1991-01","0.029998"
"21","1991-01","0.029998"
"31","1991-01","0.029998"
"63","1991-01","0.029998"
"37","1991-01","0.029998"
"47","1991-01","0.029998"
"53","1991-01","0.029998"
"69","1991-01","0.029998"
"79","1991-01","0.029998"
"85","1991-01","0.029998"
"95","1991-01","0.029998"
"101","1991-01","0.029998"
"111","1991-01","0.029998"
"117","1991-01","0.029998"
"127","1991-01","0.029998"
"33","1991-01","0.029998"
"20","1991-01",""
"5","1991-02","0.010203"
"15","1991-02","0.010203"
"21","1991-02","0.010203"
"31","1991-02","0.010203"
"63","1991-02","0.010203"
"37","1991-02","0.010203"
"47","1991-02","0.010203"
"53","1991-02","0.010203"
"69","1991-02","0.010203"
"79","1991-02","0.010203"
"85","1991-02","0.010203"
"95","1991-02","0.010203"
"101","1991-02","0.010203"
"111","1991-02","0.010203"
"117","1991-02","0.010203"
"127","1991-02","0.010203"
"33","1991-02","0.035412"
"20","1991-02","-0.006341"
"5","1991-03","-0.098917"
"15","1991-03","-0.098917"
"21","1991-03","-0.098917"
"31","1991-03","-0.098917"
"63","1991-03","-0.098917"
"37","1991-03","-0.098917"
"47","1991-03","-0.098917"
"53","1991-03","-0.098917"
"69","1991-03","-0.098917"
"79","1991-03","-0.098917"
"85","1991-03","-0.098917"
"95","1991-03","-0.098917"
"101","1991-03","-0.098917"
"111","1991-03","-0.098917"
"117","1991-03","-0.098917"
"127","1991-03","-0.098917"
"33","1991-03","-0.051449"
"20","1991-03","-0.126437"
"5","1991-04","-0.079652"
"15","1991-04","-0.079652"
"21","1991-04","-0.079652"
"31","1991-04","-0.079652"
"63","1991-04","-0.079652"
"37","1991-04","-0.079652"
"47","1991-04","-0.079652"
"53","1991-04","-0.079652"
"69","1991-04","-0.079652"
"79","1991-04","-0.079652"
"85","1991-04","-0.079652"
"95","1991-04","-0.079652"
"101","1991-04","-0.079652"
"111","1991-04","-0.079652"
"117","1991-04","-0.079652"
"127","1991-04","-0.079652"
"33","1991-04","-0.000552"
"20","1991-04","-0.115289"
"5","1991-05","-0.074521"
"15","1991-05","-0.074521"
"21","1991-05","-0.074521"
"31","1991-05","-0.074521"
"63","1991-05","-0.074521"
"37","1991-05","-0.074521"
"47","1991-05","-0.074521"
"53","1991-05","-0.074521"
"69","1991-05","-0.074521"
"79","1991-05","-0.074521"
"85","1991-05","-0.074521"
"95","1991-05","-0.074521"
"101","1991-05","-0.074521"
"111","1991-05","-0.074521"
"117","1991-05","-0.074521"
"127","1991-05","-0.074521"
"33","1991-05","0.075015"
"20","1991-05","0.094107"
"5","1991-06","-0.079348"
"15","1991-06","-0.079348"
"21","1991-06","-0.079348"
"31","1991-06","-0.079348"
"63","1991-06","-0.079348"
"37","1991-06","-0.079348"
"47","1991-06","-0.079348"
"53","1991-06","-0.079348"
"69","1991-06","-0.079348"
"79","1991-06","-0.079348"
"85","1991-06","-0.079348"
"95","1991-06","-0.079348"
"101","1991-06","-0.079348"
"111","1991-06","-0.079348"
"117","1991-06","-0.079348"
"127","1991-06","-0.079348"
"33","1991-06","0.201358"
"20","1991-06","-0.154429"
