"Stkcd","ShortName","Accper","Typrep","B001100000","B001101000"
"002511","中顺洁柔","2016-01-01","B","671281512.67","671281512.67"
"002511","中顺洁柔","2016-01-01","A","2958976614.00","2958976614.00"
"002511","中顺洁柔","2016-03-31","B","292292514.64","292292514.64"
"002511","中顺洁柔","2016-03-31","A","854090752.85","854090752.85"
"002511","中顺洁柔","2016-06-30","B","505573254.07","505573254.07"
"002511","中顺洁柔","2016-06-30","A","1771552660.77","1771552660.77"
"002511","中顺洁柔","2016-09-30","B","748503859.32","748503859.32"
"002511","中顺洁柔","2016-09-30","A","2740959078.00","2740959078.00"
"002511","中顺洁柔","2016-12-31","B","1056515354.61","1056515354.61"
"002511","中顺洁柔","2016-12-31","A","3809349072.13","3809349072.13"
"002511","中顺洁柔","2017-01-01","B","1056515354.61","1056515354.61"
"002511","中顺洁柔","2017-01-01","A","3809349072.13","3809349072.13"
"002511","中顺洁柔","2017-03-31","B","632069832.77","632069832.77"
"002511","中顺洁柔","2017-03-31","A","1032246698.85","1032246698.85"
"002511","中顺洁柔","2017-06-30","B","1070993256.21","1070993256.21"
"002511","中顺洁柔","2017-06-30","A","2123216428.96","2123216428.96"
"002511","中顺洁柔","2017-09-30","B","1336828428.58","1336828428.58"
"002511","中顺洁柔","2017-09-30","A","3352133786.61","3352133786.61"
"002511","中顺洁柔","2017-12-31","A","4638349590.23","4638349590.23"
"002511","中顺洁柔","2017-12-31","B","1571365064.74","1571365064.74"
"002511","中顺洁柔","2018-01-01","B","1571365064.74","1571365064.74"
"002511","中顺洁柔","2018-01-01","A","4638349590.23","4638349590.23"
"002511","中顺洁柔","2018-03-31","A","1224790878.97","1224790878.97"
"002511","中顺洁柔","2018-03-31","B","196921577.89","196921577.89"
"002511","中顺洁柔","2018-06-30","B","465010626.07","465010626.07"
"002511","中顺洁柔","2018-06-30","A","2586062097.15","2586062097.15"
"002511","中顺洁柔","2018-09-30","B","812154398.54","812154398.54"
"002511","中顺洁柔","2018-09-30","A","4080983764.87","4080983764.87"
"002511","中顺洁柔","2018-12-31","B","1162699554.97","1162699554.97"
"002511","中顺洁柔","2018-12-31","A","5678517623.29","5678517623.29"
"002511","中顺洁柔","2019-01-01","B","1162699554.97","1162699554.97"
"002511","中顺洁柔","2019-01-01","A","5678517623.29","5678517623.29"
"002511","中顺洁柔","2019-03-31","A","1540517206.36","1540517206.36"
"002511","中顺洁柔","2019-03-31","B","265375305.96","265375305.96"
"002511","中顺洁柔","2019-06-30","B","563613980.60","563613980.60"
"002511","中顺洁柔","2019-06-30","A","3172389026.96","3172389026.96"
"002511","中顺洁柔","2019-09-30","B","910176575.62","910176575.62"
"002511","中顺洁柔","2019-09-30","A","4819879798.90","4819879798.90"
"002511","中顺洁柔","2019-12-31","B","1287647693.35","1287647693.35"
"002511","中顺洁柔","2019-12-31","A","6634914352.68","6634914352.68"
"002511","中顺洁柔","2020-01-01","B","1287647693.35","1287647693.35"
"002511","中顺洁柔","2020-01-01","A","6634914352.68","6634914352.68"
"002511","中顺洁柔","2020-03-31","A","1670909073.75","1670909073.75"
"002511","中顺洁柔","2020-03-31","B","406109605.13","406109605.13"
"002511","中顺洁柔","2020-06-30","A","3616201399.80","3616201399.80"
"002511","中顺洁柔","2020-06-30","B","853891264.03","853891264.03"
"002557","洽洽食品","2016-01-01","B","2206664792.38","2206664792.38"
"002557","洽洽食品","2016-01-01","A","3311372569.86","3311372569.86"
"002557","洽洽食品","2016-03-31","B","524538652.92","524538652.92"
"002557","洽洽食品","2016-03-31","A","860855341.43","860855341.43"
"002557","洽洽食品","2016-06-30","B","1030580424.43","1030580424.43"
"002557","洽洽食品","2016-06-30","A","1655847883.34","1655847883.34"
"002557","洽洽食品","2016-09-30","B","1591432255.87","1591432255.87"
"002557","洽洽食品","2016-09-30","A","2532158022.17","2532158022.17"
"002557","洽洽食品","2016-12-31","B","2195084934.23","2195084934.23"
"002557","洽洽食品","2016-12-31","A","3513011838.49","3513011838.49"
"002557","洽洽食品","2017-01-01","B","2195084934.23","2195084934.23"
"002557","洽洽食品","2017-01-01","A","3513011838.49","3513011838.49"
"002557","洽洽食品","2017-03-31","B","440058138.47","440058138.47"
"002557","洽洽食品","2017-03-31","A","799497081.98","799497081.98"
"002557","洽洽食品","2017-06-30","A","1600144160.31","1600144160.31"
"002557","洽洽食品","2017-06-30","B","914966730.48","914966730.48"
"002557","洽洽食品","2017-09-30","B","1508368116.55","1508368116.55"
"002557","洽洽食品","2017-09-30","A","2509962785.95","2509962785.95"
"002557","洽洽食品","2017-12-31","A","3602738165.48","3602738165.48"
"002557","洽洽食品","2017-12-31","B","2171569382.67","2171569382.67"
"002557","洽洽食品","2018-01-01","B","2171569382.67","2171569382.67"
"002557","洽洽食品","2018-01-01","A","3602738165.48","3602738165.48"
