date,boom,buy,credit,gain,profit,reward,surge,rise,boost,win
2018-09-02,4,45,26,3,5,0,8,12,39,53
2018-09-09,4,55,32,5,9,3,11,11,42,51
2018-09-16,7,55,34,9,10,6,5,18,35,66
2018-09-23,3,58,31,9,5,4,16,22,30,45
2018-09-30,0,71,39,6,8,7,16,9,32,46
2018-10-07,4,67,30,3,8,7,23,11,36,58
2018-10-14,3,62,36,10,5,0,13,17,27,52
2018-10-21,2,61,29,7,4,6,13,14,36,54
2018-10-28,4,58,37,5,10,7,12,5,40,46
2018-11-04,5,65,28,6,7,12,14,14,47,54
2018-11-11,7,50,31,7,6,10,10,12,35,52
2018-11-18,5,69,33,17,8,5,12,16,39,58
2018-11-25,4,51,30,8,6,12,16,10,38,61
2018-12-02,5,51,27,4,0,7,12,19,31,62
2018-12-09,5,61,34,5,6,10,15,21,33,59
2018-12-16,6,56,34,10,11,0,16,11,25,48
2018-12-23,0,49,30,8,8,4,8,15,30,50
2018-12-30,5,61,36,7,5,0,4,15,38,47
2019-01-06,0,66,36,8,3,7,7,24,43,53
2019-01-13,0,64,38,0,6,4,0,12,39,50
2019-01-20,0,54,38,11,6,10,15,11,39,44
2019-01-27,0,52,38,0,7,0,0,20,45,36
2019-02-03,0,100,31,0,0,0,17,0,37,38
2019-02-10,0,72,31,5,9,0,11,8,34,63
2019-02-17,0,67,46,7,3,9,16,0,41,55
2019-02-24,0,61,42,14,7,0,10,28,30,51
2019-03-03,0,50,39,7,7,12,11,13,31,62
2019-03-10,0,55,30,10,7,0,9,19,30,44
2019-03-17,0,55,32,8,9,4,5,11,45,46
2019-03-24,0,54,27,15,4,12,7,8,26,55
2019-03-31,0,66,33,8,9,10,0,19,39,48
2019-04-07,0,67,34,9,8,7,13,29,27,50
2019-04-14,0,67,35,6,7,4,20,24,51,55
2019-04-21,0,64,42,12,6,5,0,14,37,40
2019-04-28,0,79,43,8,7,8,11,24,47,59
2019-05-05,0,66,32,7,15,8,19,24,33,59
2019-05-12,0,66,37,10,10,8,19,26,30,61
2019-05-19,0,74,36,7,5,0,9,11,41,48
2019-05-26,0,58,27,10,4,11,9,17,36,52
2019-06-02,0,69,37,5,6,6,20,26,29,48
2019-06-09,0,59,37,6,7,8,14,9,28,51
2019-06-16,0,64,35,5,6,5,8,18,33,52
2019-06-23,0,65,33,7,6,4,16,11,34,63
2019-06-30,0,50,26,6,6,0,10,8,36,50
2019-07-07,0,62,30,7,8,0,9,10,36,62
2019-07-14,0,51,37,3,4,0,17,15,41,47
2019-07-21,0,59,30,9,6,0,6,16,24,54
2019-07-28,0,56,36,10,6,10,0,20,29,36
2019-08-04,0,63,40,18,2,9,3,10,34,28
2019-08-11,0,69,34,4,9,5,14,10,38,40
2019-08-18,0,64,38,8,8,0,4,22,27,51
2019-08-25,0,63,41,7,4,0,10,14,38,35
2019-09-01,0,62,30,10,3,7,19,11,33,44
2019-09-08,0,86,29,15,7,0,14,18,26,51
2019-09-15,0,62,28,10,7,6,18,15,35,68
2019-09-22,0,62,28,7,8,0,8,12,31,53
2019-09-29,0,63,20,13,0,0,11,52,25,57
2019-10-06,0,74,28,3,10,5,16,23,35,61
2019-10-13,0,71,44,9,5,0,13,18,37,47
2019-10-20,0,77,40,6,10,4,8,19,24,49
2019-10-27,0,64,41,10,6,5,13,13,20,43
2019-11-03,0,61,39,0,5,0,6,12,33,38
2019-11-10,0,61,30,5,8,5,11,16,35,44
2019-11-17,0,77,34,7,8,8,8,23,28,43
2019-11-24,0,72,30,8,10,0,0,23,28,49
2019-12-01,0,69,43,11,22,0,18,16,29,40
2019-12-08,0,65,25,8,4,0,0,18,19,39
2019-12-15,0,81,38,6,9,6,7,64,29,27
2019-12-22,0,70,42,9,2,14,9,45,31,47
2019-12-29,0,74,43,12,5,0,5,14,26,44
2020-01-05,0,53,32,3,14,10,14,15,24,60
2020-01-12,0,79,38,10,0,7,4,15,40,42
2020-01-19,0,67,28,0,0,16,23,15,18,51
2020-01-26,0,85,32,0,0,0,24,30,24,37
2020-02-02,0,54,22,18,11,0,18,18,21,60
2020-02-09,0,78,25,11,9,0,24,17,15,54
2020-02-16,0,50,34,0,15,0,18,0,24,44
2020-02-23,0,64,30,0,5,0,14,6,14,62
2020-03-01,0,47,21,3,6,0,17,23,26,73
2020-03-08,0,85,24,13,0,13,0,33,19,61
2020-03-15,0,53,25,8,11,9,11,14,42,56
2020-03-22,0,54,25,0,8,7,18,15,26,78
2020-03-29,0,49,42,11,8,5,16,0,22,61
2020-04-05,0,52,34,11,9,13,14,14,32,62
2020-04-12,0,50,26,10,14,13,20,0,29,63
2020-04-19,0,55,28,12,21,0,10,16,32,53
2020-04-26,0,60,24,8,7,0,7,16,42,68
2020-05-03,0,51,30,11,11,18,0,10,17,53
2020-05-10,0,45,32,10,9,14,21,18,28,64
2020-05-17,0,46,27,7,12,0,12,36,22,45
2020-05-24,0,35,30,11,6,0,12,31,37,57
2020-05-31,0,42,28,21,10,0,6,31,37,60
2020-06-07,0,34,21,0,4,5,17,24,31,44
