Indexcd,Idxtrd01,Idxtrd08
1,2018-09-03,-0.1657
1,2018-09-04,1.097
1,2018-09-05,-1.6812
1,2018-09-06,-0.4712
1,2018-09-07,0.3978
1,2018-09-10,-1.2144
1,2018-09-11,-0.1755
1,2018-09-12,-0.3261
1,2018-09-13,1.1471
1,2018-09-14,-0.1837
1,2018-09-17,-1.1133
1,2018-09-18,1.8162
1,2018-09-19,1.1445
1,2018-09-20,-0.0588
1,2018-09-21,2.5004
1,2018-09-25,-0.5843
1,2018-09-26,0.9231
1,2018-09-27,-0.5358
1,2018-09-28,1.0594
1,2018-10-08,-3.716
1,2018-10-09,0.1658
1,2018-10-10,0.1773
1,2018-10-11,-5.2233
1,2018-10-12,0.9079
1,2018-10-15,-1.4889
1,2018-10-16,-0.8476
1,2018-10-17,0.6002
1,2018-10-18,-2.9355
1,2018-10-19,2.5758
1,2018-10-22,4.0938
1,2018-10-23,-2.2619
1,2018-10-24,0.3264
1,2018-10-25,0.0194
1,2018-10-26,-0.1902
1,2018-10-29,-2.1834
1,2018-10-30,1.0206
1,2018-10-31,1.3526
1,2018-11-01,0.1327
1,2018-11-02,2.695
1,2018-11-05,-0.4127
1,2018-11-06,-0.2279
1,2018-11-07,-0.6774
1,2018-11-08,-0.2162
1,2018-11-09,-1.3947
1,2018-11-12,1.2178
1,2018-11-13,0.9261
1,2018-11-14,-0.8527
1,2018-11-15,1.3649
1,2018-11-16,0.41
1,2018-11-19,0.9108
1,2018-11-20,-2.1327
1,2018-11-21,0.2135
1,2018-11-22,-0.229
1,2018-11-23,-2.493
1,2018-11-26,-0.1424
1,2018-11-27,-0.0439
1,2018-11-28,1.0509
1,2018-11-29,-1.3181
1,2018-11-30,0.808
1,2018-12-03,2.5736
1,2018-12-04,0.4204
1,2018-12-05,-0.6059
1,2018-12-06,-1.684
1,2018-12-07,0.0271
1,2018-12-10,-0.8176
1,2018-12-11,0.3678
1,2018-12-12,0.3109
1,2018-12-13,1.2258
1,2018-12-14,-1.5303
1,2018-12-17,0.1632
1,2018-12-18,-0.8208
1,2018-12-19,-1.0512
1,2018-12-20,-0.5215
1,2018-12-21,-0.7892
1,2018-12-24,0.4275
1,2018-12-25,-0.878
1,2018-12-26,-0.2605
1,2018-12-27,-0.6087
1,2018-12-28,0.4353
1,2019-01-02,-1.147
1,2019-01-03,-0.0376
1,2019-01-04,2.0494
1,2019-01-07,0.7245
1,2019-01-08,-0.2616
1,2019-01-09,0.7078
1,2019-01-10,-0.3634
1,2019-01-11,0.7389
1,2019-01-14,-0.7074
1,2019-01-15,1.3637
1,2019-01-16,0.003
1,2019-01-17,-0.4196
1,2019-01-18,1.4209
1,2019-01-21,0.5587
1,2019-01-22,-1.18
1,2019-01-23,0.0504
1,2019-01-24,0.4142
1,2019-01-25,0.387
1,2019-01-28,-0.1824
1,2019-01-29,-0.1049
1,2019-01-30,-0.72
1,2019-01-31,0.3493
1,2019-02-01,1.3023
1,2019-02-11,1.3621
1,2019-02-12,0.6782
1,2019-02-13,1.8404
1,2019-02-14,-0.0503
1,2019-02-15,-1.372
1,2019-02-18,2.6831
1,2019-02-19,0.0468
1,2019-02-20,0.2022
1,2019-02-21,-0.3411
1,2019-02-22,1.9051
1,2019-02-25,5.6007
1,2019-02-26,-0.6675
1,2019-02-27,0.4184
1,2019-02-28,-0.4357
1,2019-03-01,1.8039
