date,Tariffs,South China Sea,Huawei,Trade War,Made in China,Tibet,Hong Kong,Taiwan,U.S.-China,5G
2018-09-02,11,2,17,7,5,1,16,6,0,3
2018-09-09,11,2,19,8,5,1,18,7,0,7
2018-09-16,25,2,17,12,5,1,24,9,0,7
2018-09-23,15,2,19,10,5,1,17,7,0,5
2018-09-30,10,4,16,7,5,1,15,6,0,6
2018-10-07,11,3,16,8,5,1,18,6,0,5
2018-10-14,9,2,25,7,5,1,16,6,0,4
2018-10-21,10,2,22,6,5,2,19,8,0,4
2018-10-28,10,2,20,7,5,1,18,7,0,5
2018-11-04,9,2,18,6,4,1,17,6,0,4
2018-11-11,8,2,18,6,5,1,15,6,0,5
2018-11-18,6,1,27,5,5,2,17,8,0,5
2018-11-25,12,2,21,7,5,2,17,8,0,5
2018-12-02,13,2,55,10,5,2,16,6,0,7
2018-12-09,9,2,44,7,5,2,16,6,0,5
2018-12-16,6,1,25,5,5,1,17,6,0,5
2018-12-23,3,1,25,3,5,1,17,6,0,6
2018-12-30,5,1,21,4,5,1,18,8,0,9
2019-01-06,6,2,21,6,5,2,16,7,0,11
2019-01-13,6,2,22,5,5,2,15,7,0,7
2019-01-20,5,2,19,5,5,2,16,8,0,7
2019-01-27,6,2,30,5,5,1,16,7,0,9
2019-02-03,6,1,18,5,4,2,16,6,0,9
2019-02-10,6,2,18,5,5,2,17,7,0,7
2019-02-17,6,1,21,5,4,2,16,6,0,11
2019-02-24,7,2,42,5,4,2,17,8,0,13
2019-03-03,6,2,28,5,5,2,17,7,0,8
2019-03-10,5,1,22,4,5,2,17,7,0,9
2019-03-17,6,2,19,4,4,2,16,6,0,9
2019-03-24,5,1,27,4,5,2,17,7,0,8
2019-03-31,6,2,29,4,5,2,17,8,0,13
2019-04-07,5,2,28,4,5,2,18,7,0,14
2019-04-14,4,2,35,3,4,1,15,9,0,11
2019-04-21,5,2,30,4,5,2,15,7,0,11
2019-04-28,5,2,28,4,5,2,16,7,0,9
2019-05-05,34,2,25,15,5,2,16,7,0,10
2019-05-12,37,2,36,20,7,1,16,8,0,14
2019-05-19,13,2,100,14,5,1,15,7,0,13
2019-05-26,21,2,50,14,5,2,17,12,0,13
2019-06-02,29,2,30,11,4,1,16,8,0,11
2019-06-09,12,1,25,7,4,1,41,8,0,10
2019-06-16,9,1,23,6,5,1,35,8,0,10
2019-06-23,8,1,23,7,4,1,19,7,0,10
2019-06-30,6,1,24,5,4,1,26,6,0,9
2019-07-07,5,1,18,4,4,1,19,7,0,10
2019-07-14,4,1,18,5,4,1,17,7,0,10
2019-07-21,4,2,18,4,4,1,25,7,0,9
2019-07-28,12,1,18,6,4,1,24,7,0,10
2019-08-04,11,1,20,14,4,1,31,8,0,11
2019-08-11,10,1,17,9,4,1,83,9,0,10
2019-08-18,14,2,19,11,6,1,44,7,0,10
2019-08-25,13,2,15,14,5,1,30,7,0,10
2019-09-01,12,2,17,11,5,1,36,7,0,9
2019-09-08,9,2,20,9,5,1,24,7,0,12
2019-09-15,7,2,21,8,5,1,21,7,0,10
2019-09-22,7,1,19,8,5,1,20,7,0,10
2019-09-29,10,1,17,7,5,1,29,11,0,8
2019-10-06,9,2,16,10,5,2,50,10,0,8
2019-10-13,8,2,16,7,5,2,39,9,0,8
2019-10-20,6,1,15,6,7,1,28,8,0,10
2019-10-27,5,1,15,6,7,1,20,7,0,8
2019-11-03,8,1,16,7,5,1,20,8,0,10
2019-11-10,7,1,14,6,5,1,33,7,0,9
2019-11-17,6,2,15,7,5,1,46,7,0,10
2019-11-24,4,1,17,5,5,1,31,6,0,12
2019-12-01,9,2,17,8,5,1,21,7,0,16
2019-12-08,9,2,15,9,5,1,20,6,0,14
2019-12-15,6,1,16,5,5,1,20,7,0,14
2019-12-22,3,1,17,2,5,1,21,7,0,15
2019-12-29,3,1,15,3,5,1,20,8,0,12
2020-01-05,5,1,15,4,5,1,18,12,0,13
2020-01-12,8,1,15,5,7,1,17,10,0,12
2020-01-19,5,1,16,3,7,2,19,9,0,13
2020-01-26,5,1,16,4,7,2,23,10,0,12
2020-02-02,7,1,16,4,8,2,23,10,0,19
2020-02-09,6,1,18,4,8,1,20,10,0,16
2020-02-16,5,1,16,3,8,1,17,8,0,19
2020-02-23,5,1,16,3,11,2,17,10,0,18
2020-03-01,5,1,14,3,11,1,18,10,0,18
2020-03-08,4,1,13,3,14,1,20,11,0,22
2020-03-15,4,1,13,3,11,1,19,14,0,32
2020-03-22,4,1,17,3,9,1,19,10,0,30
2020-03-29,4,2,13,3,9,1,17,12,0,84
2020-04-05,4,2,14,3,9,1,18,12,0,100
2020-04-12,5,2,14,3,12,2,16,14,0,37
2020-04-19,5,3,13,3,12,1,17,10,0,29
2020-04-26,5,3,12,4,11,2,17,10,0,23
2020-05-03,5,3,13,4,11,2,19,10,0,22
2020-05-10,4,3,14,4,10,1,23,10,0,20
2020-05-17,3,2,15,3,9,1,24,10,0,22
2020-05-24,3,2,16,3,8,1,39,10,0,17
2020-05-31,2,2,14,2,7,1,26,8,0,17
2020-06-07,3,2,15,2,6,1,18,8,0,18
2020-06-14,2,2,16,2,6,2,16,8,0,19
2020-06-21,3,2,15,2,7,1,16,8,0,17
2020-06-28,2,2,14,1,7,1,24,8,0,17
2020-07-05,2,4,15,1,7,2,20,10,0,18
2020-07-12,3,5,18,2,8,1,24,11,0,19
2020-07-19,2,4,15,2,7,1,18,10,0,18
2020-07-26,2,4,15,1,8,1,17,10,0,17
2020-08-02,3,3,14,1,7,1,16,9,0,20
2020-08-09,2,3,13,1,8,1,16,10,0,19
2020-08-16,2,3,13,1,8,1,14,8,0,20
2020-08-23,3,3,12,2,7,1,14,7,0,20
2020-08-30,3,3,12,2,6,1,15,10,0,21
2020-09-06,4,3,12,3,7,1,14,8,0,21
2020-09-13,5,3,12,4,7,1,14,9,0,23
2020-09-20,5,3,13,4,6,2,13,9,0,21
2020-09-27,4,2,12,4,6,1,13,9,0,20
2020-10-04,4,2,12,4,6,1,13,9,0,20
2020-10-11,4,2,13,3,6,1,15,10,0,38
2020-10-18,5,2,14,4,6,1,13,10,0,34
2020-10-25,4,2,13,3,6,1,13,10,0,29
2020-11-01,4,2,11,3,5,1,11,7,0,20
2020-11-08,5,2,13,3,6,1,13,7,0,25
2020-11-15,4,1,13,4,6,1,15,8,0,29
2020-11-22,2,1,13,2,6,1,13,6,0,29
2020-11-29,4,2,12,4,7,1,14,7,0,28
2020-12-06,5,1,12,3,6,1,13,8,0,23
2020-12-13,4,1,12,4,7,1,13,6,0,22
2020-12-20,1,1,11,1,6,1,16,7,0,25
2020-12-27,1,1,12,1,6,1,16,7,0,30
2021-01-03,3,2,11,2,6,1,15,7,0,19
2021-01-10,4,2,11,3,6,1,13,7,0,22
2021-01-17,4,1,11,3,6,1,13,7,0,24
2021-01-24,4,2,13,3,7,1,15,12,0,24
2021-01-31,4,2,11,3,7,1,14,10,0,22
2021-02-07,4,2,11,3,5,1,13,8,0,21
2021-02-14,3,2,10,2,5,1,13,7,0,19
2021-02-21,4,2,10,3,6,1,13,7,0,20
2021-02-28,4,1,9,2,5,1,12,6,0,17
2021-03-07,4,2,9,3,5,1,13,7,0,18
2021-03-14,3,2,11,2,6,1,15,7,0,21
2021-03-21,3,2,10,3,5,1,14,8,0,22
2021-03-28,3,2,10,2,6,1,16,11,0,20
2021-04-04,3,2,11,2,5,1,15,10,0,22
2021-04-11,3,4,11,3,6,1,16,12,0,20
2021-04-18,3,2,12,3,5,1,15,9,0,20
2021-04-25,4,2,12,3,6,1,14,9,0,20
2021-05-02,4,2,11,3,6,1,13,10,0,21
2021-05-09,4,2,12,3,5,1,15,10,0,20
2021-05-16,3,2,11,3,5,1,13,11,0,21
2021-05-23,3,2,13,3,6,1,14,19,0,21
2021-05-30,3,1,13,2,5,1,14,11,0,22
2021-06-06,2,1,12,1,6,1,13,10,0,23
2021-06-13,2,1,14,1,5,1,13,9,0,23
2021-06-20,2,1,12,1,5,1,14,9,0,25
2021-06-27,2,1,12,1,4,1,14,9,0,24
2021-07-04,1,1,13,1,5,1,14,9,0,23
2021-07-11,2,2,13,1,5,1,15,8,0,24
2021-07-18,2,1,11,1,5,1,14,9,0,22
2021-07-25,1,2,13,1,5,1,16,10,0,22
2021-08-01,1,2,12,1,5,1,17,10,0,21
2021-08-08,1,1,12,1,5,1,14,9,0,28
2021-08-15,1,1,13,1,5,1,14,11,0,26
2021-08-22,1,1,12,1,6,1,14,9,0,24
2021-08-29,2,1,11,1,5,1,14,7,0,23
2021-09-05,2,1,12,2,5,1,15,7,0,20
2021-09-12,3,2,14,2,5,1,14,8,0,23
2021-09-19,3,2,14,2,5,1,14,7,0,24
2021-09-26,3,1,16,2,5,1,13,8,0,25
