PERMNO,date,TICKER,RET,sprtrn
17144,2010/01/29,GIS,0.013981,-0.036974
17144,2010/02/26,GIS,0.009816,0.028514
17144,2010/03/31,GIS,-0.016942,0.058796
17144,2010/04/30,GIS,0.012149,0.014759
17144,2010/05/28,GIS,0.000984,-0.081976
17144,2010/06/30,GIS,-0.002667,-0.053882
17144,2010/07/30,GIS,-0.029279,0.068778
17144,2010/08/31,GIS,0.057310,-0.047449
17144,2010/09/30,GIS,0.010509,0.087551
17144,2010/10/29,GIS,0.035577,0.036856
17144,2010/11/30,GIS,-0.059372,-0.002290
17144,2010/12/31,GIS,0.007359,0.065300
17144,2011/01/31,GIS,-0.014892,0.022646
17144,2011/02/28,GIS,0.067855,0.031957
17144,2011/03/31,GIS,-0.015886,-0.001047
17144,2011/04/29,GIS,0.063201,0.028495
17144,2011/05/31,GIS,0.030845,-0.013501
17144,2011/06/30,GIS,-0.064119,-0.018258
17144,2011/07/29,GIS,0.011687,-0.021474
17144,2011/08/31,GIS,0.014993,-0.056791
17144,2011/09/30,GIS,0.015299,-0.071762
17144,2011/10/31,GIS,0.008963,0.107723
17144,2011/11/30,GIS,0.036854,-0.005059
17144,2011/12/30,GIS,0.011514,0.008533
17144,2012/01/31,GIS,-0.006805,0.043583
17144,2012/02/29,GIS,-0.038162,0.040589
17144,2012/03/30,GIS,0.029757,0.031332
17144,2012/04/30,GIS,-0.006464,-0.007497
17144,2012/05/31,GIS,-0.015685,-0.062651
17144,2012/06/29,GIS,0.006792,0.039555
17144,2012/07/31,GIS,0.012714,0.012598
17144,2012/08/31,GIS,0.016279,0.019763
17144,2012/09/28,GIS,0.013221,0.024236
17144,2012/10/31,GIS,0.014053,-0.019789
17144,2012/11/30,GIS,0.022705,0.002847
17144,2012/12/31,GIS,-0.013906,0.007068
17144,2013/01/31,GIS,0.045769,0.050428
17144,2013/02/28,GIS,0.102766,0.011061
17144,2013/03/28,GIS,0.066162,0.035988
17144,2013/04/30,GIS,0.029203,0.018086
17144,2013/05/31,GIS,-0.066243,0.020763
17144,2013/06/28,GIS,0.030799,-0.014999
17144,2013/07/31,GIS,0.079332,0.049462
17144,2013/08/30,GIS,-0.051538,-0.031298
17144,2013/09/30,GIS,-0.028386,0.029749
17144,2013/10/31,GIS,0.060100,0.044596
17144,2013/11/29,GIS,0.000198,0.028049
17144,2013/12/31,GIS,-0.010311,0.023563
17144,2014/01/31,GIS,-0.030254,-0.035583
17144,2014/02/28,GIS,0.041858,0.043117
17144,2014/03/31,GIS,0.035779,0.006932
17144,2014/04/30,GIS,0.031069,0.006201
17144,2014/05/30,GIS,0.036024,0.021030
17144,2014/06/30,GIS,-0.043510,0.019058
17144,2014/07/31,GIS,-0.037686,-0.015080
17144,2014/08/29,GIS,0.064407,0.037655
17144,2014/09/30,GIS,-0.054889,-0.015514
17144,2014/10/31,GIS,0.038057,0.023201
17144,2014/11/28,GIS,0.015204,0.024534
17144,2014/12/31,GIS,0.010995,-0.004189
17144,2015/01/30,GIS,-0.008251,-0.031041
17144,2015/02/27,GIS,0.024962,0.054893
17144,2015/03/31,GIS,0.052240,-0.017396
17144,2015/04/30,GIS,-0.014488,0.008521
17144,2015/05/29,GIS,0.014637,0.010491
17144,2015/06/30,GIS,-0.007658,-0.021012
17144,2015/07/31,GIS,0.052584,0.019742
17144,2015/08/31,GIS,-0.024910,-0.062581
17144,2015/09/30,GIS,-0.011099,-0.026443
17144,2015/10/30,GIS,0.043114,0.082983
17144,2015/11/30,GIS,-0.006023,0.000505
17144,2015/12/31,GIS,-0.001731,-0.017530
17144,2016/01/29,GIS,-0.012314,-0.050735
17144,2016/02/29,GIS,0.041409,-0.004128
17144,2016/03/31,GIS,0.076466,0.065991
17144,2016/04/29,GIS,-0.024467,0.002699
17144,2016/05/31,GIS,0.023476,0.015329
17144,2016/06/30,GIS,0.136031,0.000906
17144,2016/07/29,GIS,0.014722,0.035610
17144,2016/08/31,GIS,-0.014884,-0.001219
17144,2016/09/30,GIS,-0.097995,-0.001234
17144,2016/10/31,GIS,-0.022229,-0.019426
17144,2016/11/30,GIS,-0.016780,0.034174
17144,2016/12/30,GIS,0.013620,0.018201
17144,2017/01/31,GIS,0.019265,0.017884
17144,2017/02/28,GIS,-0.033771,0.037198
17144,2017/03/31,GIS,-0.022528,-0.000389
17144,2017/04/28,GIS,-0.017285,0.009091
17144,2017/05/31,GIS,-0.013389,0.011576
17144,2017/06/30,GIS,-0.023616,0.004814
17144,2017/07/31,GIS,0.013538,0.019349
17144,2017/08/31,GIS,-0.043119,0.000546
17144,2017/09/29,GIS,-0.028164,0.019303
17144,2017/10/31,GIS,0.012558,0.022188
17144,2017/11/30,GIS,0.089368,0.028083
17144,2017/12/29,GIS,0.048267,0.009832
17144,2018/01/31,GIS,-0.005229,0.056179
17144,2018/02/28,GIS,-0.135750,-0.038947
17144,2018/03/29,GIS,-0.108605,-0.026885
17144,2018/04/30,GIS,-0.018420,0.002719
17144,2018/05/31,GIS,-0.033150,0.021608
17144,2018/06/29,GIS,0.046583,0.004842
17144,2018/07/31,GIS,0.051740,0.036022
17144,2018/08/31,GIS,-0.001086,0.030263
17144,2018/09/28,GIS,-0.067159,0.004294
17144,2018/10/31,GIS,0.031920,-0.069403
17144,2018/11/30,GIS,-0.034018,0.017859
17144,2018/12/31,GIS,-0.079650,-0.091777
17144,2019/01/31,GIS,0.153826,0.078684
17144,2019/02/28,GIS,0.060531,0.029729
17144,2019/03/29,GIS,0.098027,0.017924
17144,2019/04/30,GIS,0.004058,0.039313
17144,2019/05/31,GIS,-0.039441,-0.065778
17144,2019/06/28,GIS,0.062298,0.068930
17144,2019/07/31,GIS,0.020564,0.013128
17144,2019/08/30,GIS,0.012992,-0.018092
17144,2019/09/30,GIS,0.024535,0.017181
17144,2019/10/31,GIS,-0.068396,0.020432
17144,2019/11/29,GIS,0.048368,0.034047
17144,2019/12/31,GIS,0.004501,0.028590
17144,2020/01/31,GIS,-0.015870,-0.001628
17144,2020/02/28,GIS,-0.061662,-0.084110
17144,2020/03/31,GIS,0.076939,-0.125119
17144,2020/04/30,GIS,0.144211,0.126844
17144,2020/05/29,GIS,0.052596,0.045282
17144,2020/06/30,GIS,-0.022049,0.018388
17144,2020/07/31,GIS,0.034225,0.055101
17144,2020/08/31,GIS,0.010748,0.070065
17144,2020/09/30,GIS,-0.035496,-0.039228
17144,2020/10/30,GIS,-0.033236,-0.027666
17144,2020/11/30,GIS,0.028755,0.107546
17144,2020/12/31,GIS,-0.033213,0.037121
84403,2010/01/29,WGOV,-0.013194,-0.036974
84403,2010/02/26,WGOV,0.134487,0.028514
84403,2010/03/31,WGOV,0.110802,0.058796
84403,2010/04/30,WGOV,0.002189,0.014759
84403,2010/05/28,WGOV,-0.102652,-0.081976
84403,2010/06/30,WGOV,-0.110453,-0.053882
84403,2010/07/30,WGOV,0.184489,0.068778
84403,2010/08/31,WGOV,-0.134259,-0.047449
84403,2010/09/30,WGOV,0.241194,0.087551
84403,2010/10/29,WGOV,-0.033313,0.036856
84403,2010/11/30,WGOV,0.077537,-0.002290
84403,2010/12/31,WGOV,0.114210,0.065300
84403,2011/01/31,WWD,-0.102103,0.022646
84403,2011/02/28,WWD,-0.022683,0.031957
84403,2011/03/31,WWD,0.050775,-0.001047
84403,2011/04/29,WWD,0.072049,0.028495
84403,2011/05/31,WWD,-0.047503,-0.013501
84403,2011/06/30,WWD,-0.010221,-0.018258
84403,2011/07/29,WWD,-0.010327,-0.021474
84403,2011/08/31,WWD,-0.058261,-0.056791
84403,2011/09/30,WWD,-0.154843,-0.071762
84403,2011/10/31,WWD,0.236496,0.107723
84403,2011/11/30,WWD,0.251771,-0.005059
84403,2011/12/30,WWD,-0.033302,0.008533
84403,2012/01/31,WWD,0.025654,0.043583
84403,2012/02/29,WWD,0.044545,0.040589
84403,2012/03/30,WWD,-0.021476,0.031332
84403,2012/04/30,WWD,-0.028952,-0.007497
84403,2012/05/31,WWD,-0.091368,-0.062651
84403,2012/06/29,WWD,0.045876,0.039555
84403,2012/07/31,WWD,-0.148834,0.012598
84403,2012/08/31,WWD,0.042895,0.019763
84403,2012/09/28,WWD,-0.027197,0.024236
84403,2012/10/31,WWD,-0.014126,-0.019789
84403,2012/11/30,WWD,0.094030,0.002847
84403,2012/12/31,WWD,0.042658,0.007068
84403,2013/01/31,WWD,0.007343,0.050428
84403,2013/02/28,WWD,-0.023431,0.011061
84403,2013/03/28,WWD,0.062249,0.035988
84403,2013/04/30,WWD,-0.094819,0.018086
84403,2013/05/31,WWD,0.090025,0.020763
84403,2013/06/28,WWD,0.021711,-0.014999
84403,2013/07/31,WWD,0.023000,0.049462
84403,2013/08/30,WWD,-0.055718,-0.031298
84403,2013/09/30,WWD,0.058869,0.029749
84403,2013/10/31,WWD,-0.018124,0.044596
84403,2013/11/29,WWD,0.072088,0.028049
84403,2013/12/31,WWD,0.063170,0.023563
84403,2014/01/31,WWD,-0.060513,-0.035583
84403,2014/02/28,WWD,0.019137,0.043117
84403,2014/03/31,WWD,-0.047259,0.006932
84403,2014/04/30,WWD,0.079461,0.006201
84403,2014/05/30,WWD,-0.001115,0.021030
84403,2014/06/30,WWD,0.122595,0.019058
84403,2014/07/31,WWD,-0.004384,-0.015080
84403,2014/08/29,WWD,0.047038,0.037655
84403,2014/09/30,WWD,-0.088263,-0.015514
84403,2014/10/31,WWD,0.075388,0.023201
84403,2014/11/28,WWD,0.010740,0.024534
84403,2014/12/31,WWD,-0.047407,-0.004189
84403,2015/01/30,WWD,-0.093845,-0.031041
84403,2015/02/27,WWD,0.090563,0.054893
84403,2015/03/31,WWD,0.050669,-0.017396
84403,2015/04/30,WWD,-0.077632,0.008521
84403,2015/05/29,WWD,0.084803,0.010491
84403,2015/06/30,WWD,0.079505,-0.021012
84403,2015/07/31,WWD,-0.102382,0.019742
84403,2015/08/31,WWD,-0.074149,-0.062581
84403,2015/09/30,WWD,-0.107456,-0.026443
84403,2015/10/30,WWD,0.117936,0.082983
84403,2015/11/30,WWD,0.110549,0.000505
84403,2015/12/31,WWD,-0.015269,-0.017530
84403,2016/01/29,WWD,-0.069875,-0.050735
84403,2016/02/29,WWD,0.018835,-0.004128
84403,2016/03/31,WWD,0.107987,0.065991
84403,2016/04/29,WWD,0.042099,0.002699
84403,2016/05/31,WWD,0.052389,0.015329
84403,2016/06/30,WWD,0.012294,0.000906
84403,2016/07/29,WWD,0.015614,0.035610
84403,2016/08/31,WWD,0.073283,-0.001219
84403,2016/09/30,WWD,-0.003827,-0.001234
84403,2016/10/31,WWD,-0.056018,-0.019426
84403,2016/11/30,WWD,0.150220,0.034174
84403,2016/12/30,WWD,0.019489,0.018201
84403,2017/01/31,WWD,0.008544,0.017884
84403,2017/02/28,WWD,0.013426,0.037198
84403,2017/03/31,WWD,-0.035912,-0.000389
84403,2017/04/28,WWD,-0.003681,0.009091
84403,2017/05/31,WWD,0.008497,0.011576
84403,2017/06/30,WWD,-0.007927,0.004814
84403,2017/07/31,WWD,0.034922,0.019349
84403,2017/08/31,WWD,0.005648,0.000546
84403,2017/09/29,WWD,0.105398,0.019303
84403,2017/10/31,WWD,-0.003608,0.022188
84403,2017/11/30,WWD,0.001875,0.028083
84403,2017/12/29,WWD,-0.010472,0.009832
84403,2018/01/31,WWD,0.012804,0.056179
84403,2018/02/28,WWD,-0.084462,-0.038947
84403,2018/03/29,WWD,0.011718,-0.026885
84403,2018/04/30,WWD,0.003907,0.002719
84403,2018/05/31,WWD,0.055220,0.021608
84403,2018/06/29,WWD,0.014386,0.004842
84403,2018/07/31,WWD,0.082618,0.036022
84403,2018/08/31,WWD,-0.030135,0.030263
84403,2018/09/28,WWD,0.003724,0.004294
84403,2018/10/31,WWD,-0.089290,-0.069403
84403,2018/11/30,WWD,0.138274,0.017859
84403,2018/12/31,WWD,-0.112213,-0.091777
84403,2019/01/31,WWD,0.222910,0.078684
84403,2019/02/28,WWD,0.062218,0.029729
84403,2019/03/29,WWD,-0.015051,0.017924
84403,2019/04/30,WWD,0.147645,0.039313
84403,2019/05/31,WWD,0.001676,-0.065778
84403,2019/06/28,WWD,0.038928,0.068930
84403,2019/07/31,WWD,-0.009898,0.013128
84403,2019/08/30,WWD,-0.035947,-0.018092
84403,2019/09/30,WWD,-0.000185,0.017181
84403,2019/10/31,WWD,-0.010850,0.020432
84403,2019/11/29,WWD,0.096498,0.034047
84403,2019/12/31,WWD,0.014128,0.028590
84403,2020/01/31,WWD,-0.017984,-0.001628
84403,2020/02/28,WWD,-0.110309,-0.084110
84403,2020/03/31,WWD,-0.424031,-0.125119
84403,2020/04/30,WWD,0.018843,0.126844
84403,2020/05/29,WWD,0.133772,0.045282
84403,2020/06/30,WWD,0.130796,0.018388
84403,2020/07/31,WWD,-0.033656,0.055101
84403,2020/08/31,WWD,0.144532,0.070065
84403,2020/09/30,WWD,-0.064535,-0.039228
84403,2020/10/30,WWD,-0.007610,-0.027666
84403,2020/11/30,WWD,0.406804,0.107546
