gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,fyr,at,bkvlps,csho,costat,prcc_f
005071,20120531,2011,INDL,C,D,STD,GIS,USD,5,21096.8000,9.9024,648.5000,A,38.2800
005071,20130531,2012,INDL,C,D,STD,GIS,USD,5,22658.0000,10.4123,640.8000,A,47.0800
005071,20140531,2013,INDL,C,D,STD,GIS,USD,5,23145.7000,10.6725,612.3000,A,54.9300
005071,20150531,2014,INDL,C,D,STD,GIS,USD,5,21964.5000,8.3459,598.7000,A,56.1500
005071,20160531,2015,INDL,C,D,STD,GIS,USD,5,21712.3000,8.2611,596.8000,A,62.7800
005071,20170531,2016,INDL,C,D,STD,GIS,USD,5,21812.6000,7.5020,576.9000,A,56.7400
005071,20180531,2017,INDL,C,D,STD,GIS,USD,5,30624.0000,10.3542,593.1000,A,42.2900
005071,20190531,2018,INDL,C,D,STD,GIS,USD,5,30111.2000,11.7204,601.9000,A,49.4400
005071,20200531,2019,INDL,C,D,STD,GIS,USD,5,30806.7000,13.2150,609.8000,A,63.0400
005071,20210531,2020,INDL,C,D,STD,GIS,USD,5,31841.9000,15.5840,607.7000,A,62.8600
011580,20110930,2011,INDL,C,D,STD,WWD,USD,9,1781.4340,13.4028,68.5750,A,27.4000
011580,20120930,2012,INDL,C,D,STD,WWD,USD,9,1859.9640,14.7930,68.1480,A,33.9800
011580,20130930,2013,INDL,C,D,STD,WWD,USD,9,2205.6840,16.8405,67.8450,A,40.8300
011580,20140930,2014,INDL,C,D,STD,WWD,USD,9,2397.2020,17.7609,65.3650,A,47.6200
011580,20150930,2015,INDL,C,D,STD,WWD,USD,9,2539.9650,18.2963,63.0240,A,40.7000
011580,20160930,2016,INDL,C,D,STD,WWD,USD,9,2642.3620,19.7398,61.4290,A,62.4800
011580,20170930,2017,INDL,C,D,STD,WWD,USD,9,2757.1090,22.4688,61.0350,A,77.6100
011580,20180930,2018,INDL,C,D,STD,WWD,USD,9,3790.6490,24.9875,61.5550,A,80.8600
011580,20190930,2019,INDL,C,D,STD,WWD,USD,9,3956.5260,27.9820,61.7090,A,107.8300
011580,20200930,2020,INDL,C,D,STD,WWD,USD,9,3903.3360,31.8910,62.4840,A,80.1600
147579,20111231,2011,INDL,C,D,STD,NFLX,USD,12,3069.1960,11.6033,55.3990,A,69.2900
147579,20121231,2012,INDL,C,D,STD,NFLX,USD,12,3967.8900,13.3965,55.5870,A,92.5900
147579,20131231,2013,INDL,C,D,STD,NFLX,USD,12,5412.5630,22.3726,59.6070,A,368.1700
147579,20141231,2014,INDL,C,D,STD,NFLX,USD,12,7056.6510,30.7486,60.4160,A,341.6100
147579,20151231,2015,INDL,C,D,STD,NFLX,USD,12,10202.8710,5.1956,427.9400,A,114.3800
147579,20161231,2016,INDL,C,D,STD,NFLX,USD,12,13586.6100,6.2313,430.0540,A,123.8000
147579,20171231,2017,INDL,C,D,STD,NFLX,USD,12,19012.7420,8.2649,433.3930,A,191.9600
147579,20181231,2018,INDL,C,D,STD,NFLX,USD,12,25974.4000,11.9990,436.5990,A,267.6600
147579,20191231,2019,INDL,C,D,STD,NFLX,USD,12,33975.7120,17.2790,438.8070,A,323.5700
147579,20201231,2020,INDL,C,D,STD,NFLX,USD,12,39280.3590,24.9839,442.8950,A,540.7300
160211,20111231,2011,INDL,C,D,STD,DPZ,USD,12,480.5430,-20.9511,57.7410,A,33.9500
160211,20121231,2012,INDL,C,D,STD,DPZ,USD,12,478.1970,-23.7161,56.3130,A,43.5500
160211,20131231,2013,INDL,C,D,STD,DPZ,USD,12,525.2550,-23.1348,55.7690,A,69.6500
160211,20141231,2014,INDL,C,D,STD,DPZ,USD,12,619.2800,-21.9514,55.5530,A,94.1700
160211,20151231,2015,INDL,C,D,STD,DPZ,USD,12,799.8450,-36.1221,49.8380,A,111.2500
160211,20161231,2016,INDL,C,D,STD,DPZ,USD,12,716.2950,-39.1506,48.1000,A,159.2400
160211,20171231,2017,INDL,C,D,STD,DPZ,USD,12,836.7530,-63.7648,42.8980,A,188.9600
160211,20181231,2018,INDL,C,D,STD,DPZ,USD,12,907.3850,-74.1842,40.9780,A,247.9900
160211,20191231,2019,INDL,C,D,STD,DPZ,USD,12,1382.0920,-87.7320,38.9340,A,293.7800
160211,20201231,2020,INDL,C,D,STD,DPZ,USD,12,1567.1680,-84.9132,38.8680,A,383.4600
175404,20111231,2011,INDL,C,D,STD,FSLR,USD,12,5777.6140,42.1412,86.4680,A,33.7600
175404,20121231,2012,INDL,C,D,STD,FSLR,USD,12,6348.6920,41.3739,87.1450,A,30.8556
175404,20131231,2013,INDL,C,D,STD,FSLR,USD,12,6883.5020,45.2543,99.5070,A,54.6400
175404,20141231,2014,INDL,C,D,STD,FSLR,USD,12,6724.4390,50.1300,100.2890,A,44.5950
175404,20151231,2015,INDL,C,D,STD,FSLR,USD,12,7316.3310,54.5215,101.7670,A,65.9900
175404,20161231,2016,INDL,C,D,STD,FSLR,USD,12,6867.2130,50.1051,104.0350,A,32.0900
175404,20171231,2017,INDL,C,D,STD,FSLR,USD,12,6864.5010,48.8063,104.4680,A,67.5200
175404,20181231,2018,INDL,C,D,STD,FSLR,USD,12,7121.3620,49.6964,104.8850,A,42.4550
175404,20191231,2019,INDL,C,D,STD,FSLR,USD,12,7515.6890,48.3340,105.4490,A,55.9600
175404,20201231,2020,INDL,C,D,STD,FSLR,USD,12,7108.9310,52.0941,105.9800,A,98.9200
