PERMNO,date,TICKER,PRC,RET,sprtrn
17144,2020/08/03,GIS,64.60000,0.021021,0.007181
17144,2020/08/04,GIS,65.74000,0.017647,0.003612
17144,2020/08/05,GIS,64.42000,-0.020079,0.006430
17144,2020/08/06,GIS,64.18000,-0.003726,0.006428
17144,2020/08/07,GIS,64.35000,0.002649,0.000633
17144,2020/08/10,GIS,63.75000,-0.009324,0.002742
17144,2020/08/11,GIS,62.14000,-0.025255,-0.007969
17144,2020/08/12,GIS,63.06000,0.014805,0.013997
17144,2020/08/13,GIS,62.97000,-0.001427,-0.002047
17144,2020/08/14,GIS,63.27000,0.004764,-0.000172
17144,2020/08/17,GIS,64.28000,0.015963,0.002710
17144,2020/08/18,GIS,64.63000,0.005445,0.002303
17144,2020/08/19,GIS,64.46000,-0.002630,-0.004404
17144,2020/08/20,GIS,64.21000,-0.003878,0.003159
17144,2020/08/21,GIS,64.02000,-0.002959,0.003441
17144,2020/08/24,GIS,64.13000,0.001718,0.010044
17144,2020/08/25,GIS,63.90000,-0.003586,0.003596
17144,2020/08/26,GIS,64.25000,0.005477,0.010196
17144,2020/08/27,GIS,64.71000,0.007160,0.001673
17144,2020/08/28,GIS,63.39000,-0.020399,0.006733
17144,2020/08/31,GIS,63.95000,0.008834,-0.002195
17144,2020/09/01,GIS,63.12000,-0.012979,0.007525
17144,2020/09/02,GIS,64.50000,0.021863,0.015366
17144,2020/09/03,GIS,62.97000,-0.023721,-0.035126
17144,2020/09/04,GIS,63.15000,0.002859,-0.008133
17144,2020/09/08,GIS,59.52000,-0.057482,-0.027756
17144,2020/09/09,GIS,59.98000,0.007728,0.020145
17144,2020/09/10,GIS,58.49000,-0.024842,-0.017585
17144,2020/09/11,GIS,58.54000,0.000855,0.000533
17144,2020/09/14,GIS,58.76000,0.003758,0.012742
17144,2020/09/15,GIS,59.02000,0.004425,0.005219
17144,2020/09/16,GIS,58.75000,-0.004575,-0.004619
17144,2020/09/17,GIS,57.58000,-0.019915,-0.008412
17144,2020/09/18,GIS,57.32000,-0.004515,-0.011183
17144,2020/09/21,GIS,57.87000,0.009595,-0.011571
17144,2020/09/22,GIS,57.99000,0.002074,0.010518
17144,2020/09/23,GIS,57.72000,-0.004656,-0.023721
17144,2020/09/24,GIS,58.70000,0.016979,0.002987
17144,2020/09/25,GIS,59.67000,0.016525,0.015977
17144,2020/09/28,GIS,59.90000,0.003855,0.016111
17144,2020/09/29,GIS,59.86000,-0.000668,-0.004813
17144,2020/09/30,GIS,61.68000,0.030404,0.008254
17144,2020/10/01,GIS,62.57000,0.014429,0.005293
17144,2020/10/02,GIS,62.52000,-0.000799,-0.009572
