date,_NAME_,P1,P10,P2,P3,P4,P5,P6,P7,P8,P9
31JAN1980,cret,0.1259374014,1.0258866898,0.0841357607,0.0826865135,0.0970887058,0.1153358523,1.0940142704,1.0806821449,1.0619259797,1.0276654349
29FEB1980,cret,0.1128082996,0.9907186564,0.0868295459,0.0763039667,0.1002163766,0.0923792457,1.1467780183,1.1181684534,1.0436388885,0.973463653
31MAR1980,cret,-0.089210188,0.9240353797,-0.145207828,-0.118208087,-0.075352821,-0.036743145,1.0447899421,1.0074129971,0.9735083271,0.9088278237
30APR1980,cret,-0.050836249,0.9394967573,-0.075657995,-0.090373322,-0.031481947,0.0102615357,1.0954698006,1.0641685616,1.0378833851,0.9469117274
31MAY1980,cret,0.0130296788,1.0038529463,-0.006899296,-0.043523637,0.0339635145,0.0728781068,1.1529462087,1.1274292833,1.0987326107,1.0094025867
30JUN1980,cret,0.0292522035,1.0101777567,0.0253332903,-0.004462211,0.0825990221,0.1153760714,1.1768464159,1.1721912891,1.1474886298,1.0505199043
31JUL1980,cret,0.0797019482,1.0794819988,0.0981408253,0.0731288696,0.1711263193,0.1979375887,1.2545734902,1.2700920477,1.2267561999,1.1044552104
31AUG1980,cret,0.1522277931,1.1043856832,0.179174124,0.1199505559,0.2067789748,0.2576939659,1.2827374944,1.2960745613,1.244134248,1.1100743523
30SEP1980,cret,0.1887466926,1.112364634,0.2089896373,0.1441049946,0.2715680714,0.3232399453,1.3408685363,1.3727740313,1.2593177684,1.1199466113
31OCT1980,cret,0.2381700043,1.1108114861,0.2523022255,0.1471144585,0.358022034,0.3563523823,1.3713760448,1.3896310796,1.297027003,1.1005497699
30NOV1980,cret,0.3657099447,1.121614638,0.5006676591,0.3453347129,0.5289220879,0.5885775128,1.5525674923,1.4957955165,1.4007718931,1.1413343518
31DEC1980,cret,0.2636859381,1.1363888097,0.393722274,0.2653780034,0.4392610837,0.5115033889,1.48405083,1.4662972015,1.4187864753,1.1652743789
31JAN1981,cret,0.2171680493,1.1401180877,0.3367395502,0.2244124866,0.3531796175,0.4548968341,1.4272757253,1.4048790812,1.3564580708,1.1216052122
28FEB1981,cret,0.2330921793,1.1738630472,0.3556207733,0.2583402502,0.3726302989,0.5000071219,1.4448747806,1.4363509781,1.384156774,1.1229837563
31MAR1981,cret,0.2540735968,1.2403032988,0.4434913918,0.2979832625,0.4544713929,0.5609384784,1.5058140828,1.5016193143,1.4485779368,1.2091240985
30APR1981,cret,0.1985677541,1.2609057059,0.4410630911,0.2770160657,0.3640535391,0.5587332172,1.4770263384,1.4746707702,1.4521943302,1.221081337
31MAY1981,cret,0.2426047595,1.2591568665,0.4889922305,0.3621976682,0.4188116581,0.5846684738,1.4846168822,1.4722086041,1.4779629289,1.215735163
30JUN1981,cret,0.2700971077,1.2434384976,0.4359160586,0.3063649269,0.3441609421,0.5665020921,1.4721657573,1.4520584286,1.4829882676,1.2358254687
31JUL1981,cret,0.282415497,1.234588985,0.4471589855,0.3670625662,0.3913515129,0.594344267,1.4548575098,1.4211838242,1.4498211191,1.1950136327
31AUG1981,cret,0.1887135262,1.2004765794,0.3190070613,0.2647125102,0.2953224511,0.4939042387,1.3528387955,1.3420687696,1.3896402034,1.1406378021
30SEP1981,cret,0.0130625641,1.1566251005,0.1107222996,0.1522186237,0.1637550768,0.4042731172,1.2743951707,1.2872197452,1.3642797082,1.0958540844
31OCT1981,cret,0.0725627291,1.1994268001,0.274631146,0.2809880216,0.2586571162,0.5386731479,1.3809099744,1.3403115725,1.4117739566,1.1415161142
30NOV1981,cret,0.123869106,1.2928587106,0.3006472727,0.2912124822,0.3186331815,0.6256749716,1.4284813819,1.3927098438,1.4729148266,1.2070692274
31DEC1981,cret,0.0464006092,1.288630816,0.2451249563,0.2410793194,0.269954567,0.5505501616,1.3869624042,1.3724712252,1.4366203814,1.1852138134
31JAN1982,cret,-0.026871563,1.2796493201,0.1825203199,0.1601366008,0.1905541243,0.4890471115,1.3226122189,1.3640614297,1.3869541871,1.1917666333
